resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-12-31,local-authority-eng:WSK,BR/04,"The Mill Site, Dane Street, Bishop's Stortford, CM23 3XZ",https://www.eastherts.gov.uk/brownfieldregister,,not owned by a public authority,not permissioned,,,51.868882,0.16312,1.48,,,2017-12-31,,"The Mill Site has been allocated in the emerging East Herts District Plan, under Policy BISH10. A housing allocation has not been given for this site, as currently the site is still in employment use. The site will remain a designated employment area, until such time that the land becomes available for redevelopment.",8b6d181e5a6fdea85a9c83c889d6a9b5a2d03218e20552c9658c8fd883876615,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF006,"WarrenClose, Brandon",,yes,not owned by a public authority,pending decision,,,,,0.39,23,23,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF007,"LandOffGasHouseLane, Brandon",,yes,not owned by a public authority,permissioned,outline planning permission,,,,0.35,10,10,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF012,"Landrearof65, 69, 73StationRoad, Lakenheath",,yes,,not permissioned,,,,,0.81,24,24,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF015,"DistrictCouncilOffices, CollegeHeathRoad, Mildenhall",,yes,owned by a public authority,not permissioned,,,,,2.01,89,89,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF016,"LandAtWamilCourt, Mildenhall",,yes,owned by a public authority,not permissioned,,,,,0.62,18,18,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF019,"FormerSwimmingPoolSite, Newmarket",,yes,not owned by a public authority,permissioned,outline planning permission,,,,0.26,14,14,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF020,"StFelixMiddleSchoolSite, Newmarket",,yes,owned by a public authority,not permissioned,,,,,1.39,50,50,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF021,"LandOffTurnpikeRoad, RedLodge",,yes,mixed ownership,not permissioned,,,,,2.56,132,132,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF031,"BuryStEdmundsGardenCentre, BuryStEdmunds",,yes,not owned by a public authority,not permissioned,,,,,1.37,30,30,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF032,"GaragesAndBusDepot, CottonLane, BuryStEdmunds",,yes,not owned by a public authority,not permissioned,,,,,0.65,50,50,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF033,"HospitalSite, HospitalRoad, BuryStEdmunds",,yes,owned by a public authority,not permissioned,,,,,1.59,45,45,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF035,"LandAtRamMeadow, BuryStEdmunds",,yes,owned by a public authority,not permissioned,,,,,0.98,84,84,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF037,"SchoolYard, BuryStEdmunds",,yes,mixed ownership,not permissioned,,,,,0.28,32,32,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF039,"StationHill, BuryStEdmunds",,yes,not owned by a public authority,permissioned,full planning permission,,,,1.41,300,300,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF040,"TayfenRoad, BuryStEdmunds",,yes,mixed ownership,permissioned,outline planning permission,,,,2.2,100,100,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF041,"WeymedSite, BuryStEdmunds",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.37,14,14,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF042,"AttertonAndEllisSite, Haverhill ",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.56,39,39,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF044,"FormerGasworks, WithersfieldRoad, Haverhill",,yes,not owned by a public authority,not permissioned,,,,,0.25,10,10,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF045,"FormerWestfieldPrimarySchool, ManorRoad, Haverhill",,yes,owned by a public authority,permissioned,full planning permission,,,,0.44,14,14,2017-09-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
2019-12-20,2019-12-16,local-authority-eng:WSK,BF052,CornwallisCourtBuryStEdmunds,,yes,not owned by a public authority,not permissioned,,,,,0.33,39,39,2019-12-01,,,8b3d934973e57b487c0c3cadf77040ca7f2f3bb22d9487f5abeeae8056758c94,West Suffolk Council,E07000245
