resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-31,local-authority-eng:CRY,11,"Croydon Garden Centre, 89 Waddon Way",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,yes,not owned by a public authority,not permissioned,,,51.357692,-0.113371,0.994,35,94,2017-12-31,,. Secondary School. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,115,"Cheriton House, 20 Chipstead Avenue",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,yes,owned by a public authority,not permissioned,,,51.397136,-0.106213,0.17,15,20,2017-12-31,,. Residential redevelopment. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,123,"Prospect West and car park to the rear of, 81-85 Station Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,,not owned by a public authority,not permissioned,,,51.380531,-0.100404,0.88,40,288,2017-12-31,,. Residential (with healthcare facility if required by NHS). https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,130,1-9 Banstead Road,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,yes,not owned by a public authority,not permissioned,,,51.338611,-0.119078,0.88,77,100,2017-12-31,,. Residential. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,136,"Supermarket, car park, 54 Brigstock Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,,not owned by a public authority,not permissioned,,,51.398708,-0.101103,0.44,25,55,2017-12-31,,". Mixed use of residential, retail along Brigstock Road, and employment use. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf",2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,138,"Cherry Orchard Gardens and site between railway line and Cherry Orchard Road, Cherry Orchard Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,yes,not owned by a public authority,not permissioned,,,51.377422,-0.091164,0.8,220,492,2017-12-31,,". Mixed use development of residential with offices, restaurant/café, hotel and/or community facilities. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf",2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,14/01594/P,"Former Essex House, 101, George Street",http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0MJLXB651,yes,not owned by a public authority,permissioned,full planning permission,,51.37423,-0.093926,0.17,305,305,2017-12-31,,". Erection of two buildings of 17 and 32 storeys comprising 305 residential units, 4 commercial units (use classes A1-A5), and a gym (use class D2); provision of new public piazza and associated landscaping, car parking, cycle and refuse storage. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0MJLXB651",2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,14/01603/P,"Land Adjacent To Croydon College, College Road",http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0MJLXB647,yes,not owned by a public authority,permissioned,full planning permission,,51.373694,-0.093618,0.187,159,159,2017-12-31,,". Erection of part 16/38 storey building (plus basement and mezzanine levels) comprising 159 residential units, 225 bedroom hotel and restaurant (within use class A3); provision of associated amenity areas, landscaping and car/cycle parking and alterations/partial enclosure of access ramp. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0MJLXB647",2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,14/04070/P,"Stonewest Ltd, Lambert's Place",http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0LJLXB895,yes,not owned by a public authority,permissioned,full planning permission,,51.380828,-0.091022,0.123,25,25,2017-12-31,,". Demolition of existing buildings; erection of four/five storey building comprising 9 one bedroom flats, 10 two bedroom flats and 6 three bedroom flats; formation of vehicular access and provision of associated parking. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0LJLXB895",2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
2018-05-22,2017-12-31,local-authority-eng:CRY,142,1 Lansdowne Road,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,yes,not owned by a public authority,not permissioned,,,51.376574,-0.097636,0.4,419,441,2017-12-31,,". Mixed use development comprising residential, with offices, leisure and/or hotel. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf",2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968,London Borough of Croydon
