resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-12-22,local-authority-eng:HAT,13/00720/MAJOR,"Winchfield Lodge, Old Potbridge Road",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.287491,-0.917371,0.98,16,16,2017-12-22,,. Conversion from B1 (office) to 4 residential dwellings plus the erection of 12 additional dwellings,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,13/01215/MAJOR,"Lamb Hotel, High Street, Hartley Wintney",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.307383,-0.899228,0.25,11,11,2017-12-22,,". Conversion and extension of existing hotel buildings to form offices, retail unit, one 2-bedroom flat, one 4-bedroom house and one 3-bedroom house and the erection of one 3-bedroom house, six 2-bedroom houses and one 1-bedroom flat",06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,13/02633/MAJOR,"Guillemont Park, Minley Road, Blackwater",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.30451,-0.791993,3.4,102,102,2017-12-22,,. Demolition of the existing part-built steel framed structures. Redevelopment of the site for the construction of 150 dwellings,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,14/02101/MAJOR,93 Fleet Road,https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.285214,-0.836579,0.17,10,10,2017-12-22,,". Conversion of existing office to form eight two-bedroom flats, and erection of new detached three storey building to the rear to form two one-bedroom flats",06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,14/02454/PNDW,"Branksome Chambers, Branksomewood Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,other,,51.281215,-0.843132,0.08,5,5,2017-12-22,,. Change of use from office under Class B1(a) to dwelling under Class C3- 5 x 2-bed flats,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,14/02942/FUL,"Land to the rear of Chantryland, New Road, Eversley",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.344998,-0.859848,0.36,6,6,2017-12-22,,". Demolition of Chantryland and erection of one 5 bedroom, two 4 bedroom and three 2 bedroom houses",06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/00230/FUL,"Fleet Autos, St James Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.277733,-0.845728,0.05,5,5,2017-12-22,,". Residential development to provide five residential units, comprising one x studio unit, three x one bed houses and one x two-bed house",06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/00275/FUL,"18 Church Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.282479,-0.840032,0.08,10,10,2017-12-22,,. Demolition of existing office block at 18 Church Road and erection of 10 apartments,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/00276/REM,"Land rear of 102-108 Fleet Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,,,51.282801,-0.84074,0.09,12,12,2017-12-22,,. Reserved Matters (Appearance and Landscaping): Demolition of existing storage buildings and erection of a single block containing 10 x 1 & 2 x 2-bed residential flats. Outline application: 14/00106/MAJOR,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/00828/FUL,"Former Auxiliary Stores Unit, Former Queen Elizabeth Barracks, Naishes Lane, Fleet",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.25631,-0.829899,0.75,16,16,2017-12-22,,. Redevelopment of the site to provide 16 Dwellings,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/01083/FUL,"Rose Court, Rye Common Lane, Crondall",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.246722,-0.878398,0.3,14,14,2017-12-22,,". Demolition of office building, car parking and hard standing and erection of new building to create 14 x 2 bed apartments",06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/01540/FUL,"Pioneer House, Unit 2 Fleetwood Park, Barley Way, Fleet",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.298456,-0.831683,0.48,33,33,2017-12-22,,. Conversion of the building into 33 residential units,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/01603/FUL,"Landata House, Station Road, Hook",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.278095,-0.961119,0.55,78,78,2017-12-22,,. Redevelopment of the site to provide 78 residential flats,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/02201/REM,"Winkworth Business Park, Hartley Wintney",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,,,51.292094,-0.923157,0.5,5,5,2017-12-22,,. Reserved Matters for 14/01093/OUT erection of 5 dwellings,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
2018-05-22,2017-12-22,local-authority-eng:HAT,15/02225/FUL,"32 Reading Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,yes,not owned by a public authority,permissioned,full planning permission,,51.277539,-0.844271,0.03,6,6,2017-12-22,,. Conversion of existing B2 premises to 6 apartments,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,Hart District Council,E07000089
