resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2019-11-30,2017-11-07,local-authority-eng:HAO,,West of footbridge Rockingham Road M'k't Harborough,,,not owned by a public authority,pending decision,,,,,0.14,28,28,2017-11-07,,Application for 3 sites (ref 16/01663/FUL) for 73 houses & apartments + change of use of vacant flour mill to offices,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465,Harborough District Council
2019-11-30,2017-11-07,local-authority-eng:HAO,A/BL/HSG/02,"Car/lorry park, Gaulby Road, Billesdon",,,not owned by a public authority,not permissioned,,yes,52.612865,-0.940383,0.22,7,7,2017-11-07,,Site forms access to a larger site subject to withdrawn proposal (ref. 12/01783/FUL) for 70 units on greenfield site,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465,Harborough District Council
2019-11-30,2017-11-07,local-authority-eng:HAO,A/DB/HSG/03,"Merrie Monk, 38 Station Road, Dunton Bassett",,yes,not owned by a public authority,permissioned,full planning permission,,52.512244,-1.186091,0.18,2,2,2017-11-07,,Permission                                       (ref 16/01978/FUL) for one pair of semi-detached dwellings (Resubmission of 14/00367/FUL),8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465,Harborough District Council
2019-11-30,2017-11-07,local-authority-eng:HAO,A/MH/HSG/46,"Ex-garage site at, Naseby Square/ Newcombe St., M'k't Harborough",,yes,,not permissioned,,,52.47216,-0.921711,0.46,11,16,2017-11-07,,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465,Harborough District Council
2019-11-30,2017-11-07,local-authority-eng:HAO,A/MH/HSG/58,"Former Travis Perkins site, Clarence Street, M'k't Harborough",,yes,not owned by a public authority,pending decision,,,52.479019,-0.91363,0.38,44,44,2017-11-07,,Application                                      (ref 17/00686/FUL) for erection of 44 retirement living apartments,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465,Harborough District Council
2019-11-30,2017-11-07,local-authority-eng:HAO,A/MH/HSG/59,"Former Harboro' Rubber site, 124-128, St Mary's Rd, M'k't Harborough",,yes,not owned by a public authority,pending decision,,,52.4781,-0.912931,0.43,46,46,2017-11-07,,Application for 3 sites (ref 16/01663/FUL) for 73 houses & apartments + change of use of vacant flour mill to offices,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465,Harborough District Council
2019-11-30,2017-11-07,local-authority-eng:HAO,RC014/10,"Midland Handling Equipment Ltd., Stretton Road, Great Glen",,,,not permissioned,,,,,0.75,8,8,2017-11-07,,Lapsed planning consent (ref. 05/01168/FUL) for 8 units.,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465,Harborough District Council
