resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-21,local-authority-eng:LEE,02NH,"Seahaven Caravans, Railway Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,not permissioned,,,,,0.22,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,02RG,"Diplocks Yard, Bishops Lane, Ringmer",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,1,,,2017-12-21,,". ""Demolition of commercial buildings, retention of industrial units and erection of 10 dwellings with garages, parking, replacement access road and external works""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,03PP,"11A Newhaven Square, High Street",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,not permissioned,,,,,0.03,,,2017-12-21,,". ""Erection of a three storey building comprising of two x one bed apartments and six x two bed apartments (LW/13/0023 permission has now expired)""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,04SF,"Gas Works site, Blatchington Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,mixed ownership,not permissioned,,,,,0.34,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,05HY,"Former Hamsey Brickworks, South Road, South Common, Chailey Parish",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,permissioned,,,,,9.14,,,2017-12-21,,". ""Redevelopment of industrial estate with 8 x B1 (business) units""
enabling residential development of 37 open market houses and 12 affordable dwellings",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,05SF,"East Street Car Park, East Street, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,owned by a public authority,not permissioned,,,,,0.15,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,10HY,"Covers Yard, Cooksbridge Road, Cooksbridge, BN8 4TJ, Hamsey",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,,,,,1.7,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,15RG,"Busy Bee Garage, Lewes Road Ringmer",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,not permissioned,,,,,0.12,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,16NH,"Old Shipyard, Robinson Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,outline planning permission,,,,0.64,,,2017-12-21,,". ""Demolition of existing boatyard including commercial buildings and construction of new mixed residential development of 66 dwellings including 4 houses and 62 flats""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,18SF,"6 Steyne Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.06,,,2017-12-21,,". ""Demolition of existing building and erection of 6 x 3 bedroom houses with parking and associated landscaping""
Completed?",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,19PT,"The Old Motel Site, 1 South Coast Road, Peacehaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,pending decision,,,,,0.42,,,2017-12-21,,". ""Planning approval granted July 2012 for 25 units now lapsed, recent application submitted June 2015 (LW/15/0462) for 26 units – approved subject to S106""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,20WV,"Springfield Industrial Estate, Ditchling Road Wivelsfield",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,2.3,,,2017-12-21,,". ""Erection of 31 residential dwellings""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,21SF,"51-53 Blatchington Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,outline planning permission,,,,0.12,,,2017-12-21,,". ""Conversion of existing building on Blatchington Road frontage to three houses and erection of terrace of six houses to the rear, with gardens, parking and turning areas (discontinuation of commercial use)""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,23PP,"Holmes Lodge, 72 Claremont Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.07,,,2017-12-21,,". Demolition of existing building & erection of 12 x two bedroomed flats with garages, car parking and landscaping",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,24SF,"Station Approach/ Dane Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,not permissioned,,,,,0.03,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,25SF,"Land at Elm Court, Blatchington Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.24,,,2017-12-21,,". ""Erection of nine dwellings with associated infrastructure""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,26CH,"Kings Head Pub, East Grinstead Road, Chailey",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.29,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,27SF,"Seaford Consitutional Club, Crouch Lane, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,pending decision,,,,,0.31,,,2017-12-21,,". ""Alterations and extension to the Seaford Constitutional Club to provide new club facilities, 8x2 bed flats, 3x1 bed flats & 8x3 bedroom houses together with new carpark layout and landscaping""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,29SF,"Land rear of Chichester Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.3,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,31NH,"Newhaven Marina, Fort Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,5.7,,,2017-12-21,,". ""Erection of 319 residential apartments & 12 town houses arranged in 11 blocks (between 3 & 9 storeys high) with car parking""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,36RG,"Shopping precinct, Springett Avenue, Ringmer",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,not permissioned,,,,,0.49,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,39NH,"Robinson Road Depot, Robinson Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,mixed ownership,not permissioned,,,,,0.8,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,40NH,"LDC Offices, Fort Road Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,owned by a public authority,not permissioned,,,,,0.13,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,45PT,"Piddinghoe Avenue Car Park, Peacehaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,owned by a public authority,not permissioned,,,,,0.14,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,46NH,"Former Parker Pen Site, 52 Railway Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,2.8,,,2017-12-21,,". ""145 dwellings and associated access, car parking, servicing, and open space""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,48NH,"Clubhouse, Railway Quay, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,not permissioned,,,,,0.46,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,49PP,"Mardon Court, Claremont Road, Seaford",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.24,,,2017-12-21,,". ""Demolition of existing house and erection of 19 flats with 19 car parking spaces and 20 bike spaces (renewal of planning approval LW/06/0933)""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,51NH,"Newhaven Police Station, South Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,not permissioned,,,,,0.15,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,52NH,"Newhaven fire station, Fort Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.12,,,2017-12-21,,". ""Construction of seven x three storey houses with associated garden and parking""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,54NH,"Royal Mail Depot, High Street, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,not permissioned,,,,,0.1,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,55NH,"Former Grays Primary School, Western Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,not permissioned,,,,,0.84,,,2017-12-21,,". ""Redevelopment to provide 32 dwelling houses (20 open market houses and 12 social housing units)""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,60NH,"Harbourside Inn, Fort Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.2,,,2017-12-21,,". ""Site has planning approval (LW/13/0769) for 11 residential units and A1 use. Site is under construction with first phase (6 units) complete""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,62PT,"Land between 330-338 South Coast Road, Peacehaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,not permissioned,,,,,0.18,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,64NH,"Unit 1 Newhaven Workshop, Beach Road Industrial Estate",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,not permissioned,,,,,1.1,,,2017-12-21,,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,64PT,"Peacehaven Police Station and Car Park, 264 South Coast Road, Peacehaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.12,,,2017-12-21,,". ""Demolition of existing buildings and redevelopment to form 31 one and two bedroom sheltered apartments for the elderly including communal facilities, access, car parking and landscaping""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,BLR01,"The Bridge Inn, High Street, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.35,,,2017-12-21,,". ""Conversion of the upper floors to create six self-contained residential flats, internal alterations including new ground floor lobby area and associated works""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
2018-05-22,2017-12-21,local-authority-eng:LEE,BLR02,"Unit 6 Kendal Court, Railway Road, Newhaven",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.01,,,2017-12-21,,". ""Change of Use (including minor external alteration) from office to residential C3""",7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c,Lewes District Council
