resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-12-21,local-authority-eng:SWD,S0316,"Headlands Trading Estate, Headlands Grove, Upper Stratton, Swindon SN2 7JQ",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,outline planning permission,,51.5833,-1.76769,2.61,,,2017-12-21,,". ""Outline Application for the demolition of existing buildings and the erection of up to 115no. dwellings, public open space and associated works.""",f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0319,"54-55 Bridge Street, Swindon SN1 1BL",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,full planning permission,,51.5621,-1.78682,0.03,,,2017-12-21,,". ""Retention of retail use on ground floor, change of use of 1st. & 2nd. floor from retail (Class A1) to 6 no. dwellings (Class C3), erection of 1st & 2nd floor rear extensions and associated works.""",f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0324,"Former Hertz Rent a Car, Hyde Road, Stratton St Margaret2",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,reserved matters approval,,51.588,-1.75607,0.23,,,2017-12-21,,". ""Erection of 12 no. dwellings, with alterations to existing access, service road and parking spaces. Reserved matters from previous permission S/13/0167.""",f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0325,"Bangladeshi Youth And Community Centre, Gorse Hill Methodist Church, Cricklade Road, Swindon SN2 1AD",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,full planning permission,,51.5731,-1.77754,0.09,,,2017-12-21,,". ""Conversion of building to provide 13no. one bedroomed flats and erection of 1no. one bedroomed coach house and associated works.""",f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0326,"Wakefield House, Pipers Way Old Town, Swindon SN3 1RE",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,full planning permission,,51.5432,-1.77029,0.66,,,2017-12-21,,". ""Demolition of existing energy centre and erection of a mixed use four storey building with a convenience retail store (Class A1) on the ground floor with 18no. apartments above and 16no. houses and associated works.""",f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0327,"22-23 Victoria Road, Old Town, Swindon SN1 3AW",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,full planning permission,,51.5575,-1.77896,0.31,,,2017-12-21,,". ""Erection of a 4 storey building to provide 147sqm of retail floor space on the ground floor, 6 no. apartments on the floors above and associated works.""",f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0328,"Former Milton Road Club, 25 Milton Road, Swindon SN1 5JA",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,full planning permission,,51.5596,-1.78918,0.03,,,2017-12-21,,". ""Change of use from working man's club (Class D2) to residential (Class C3) to provide 10no. self contained apartments and associated works.""",f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0329,"Former Bampton Brothers, Stratton Road, Swindon",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,outline planning permission,,51.5716,-1.76041,1.27,,,2017-12-21,,Reserved matters approved 2017-12-14 (S/RES/17/0670). Outline application for the erection of up to 61no. dwellings (means of access not reserved).,f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0330,"Anglia House, 115-118 Commercial Road, Swindon SN1 5PL",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,planning permission granted under an order,,51.5589,-1.78348,0.06,,,2017-12-21,,Additional storey to deliver 5no flats added under S/16/0960 (S0350). Prior Approval Notification for the change of use of 1st & 2nd floors from offices (Class B1) to 14no. apartments (Class C3).,f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0331,"Signal Point, Station Road, Swindon",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,,,permissioned,planning permission granted under an order,,51.5651,-1.78601,0.42,,,2017-12-21,,. Prior Approval Notification for the change of use of part of ground and 1st floors and floors 2 - 12 from offices (Class B1(a)) to 136no. flats (Class C3).,f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0332,"Kingsbridge House, Marlborough Road, Swindon",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,full planning permission,,51.5416,-1.72924,0.13,,,2017-12-21,,. Change of use from Guest House to 5 no. Flats.,f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0333,"Selina House, 192 Oxford Road, Stratton St Margaret, Swindon SN3 4HA",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,,not owned by a public authority,permissioned,full planning permission,,51.5742,-1.75139,0.14,,,2017-12-21,,Demolition of care home and erection of 8 no. flats and associated works pending determination (S/17/1478). Change of use of care home to 10 no. flats with associated car parking and amenity space provision.,f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
2018-05-22,2017-12-21,local-authority-eng:SWD,S0334,"Haskins Garage, High Street, Wroughton, Swindon SN4 9JX",https://maps.swindon.gov.uk/sbc_soloexpanded.htm,yes,not owned by a public authority,permissioned,full planning permission,,51.5224,-1.79459,0.2,,,2017-12-21,,Part allocated in the Wroughton Neighbourhood Plan (RH6 site DP6). Erection of 13no. dwellings and associated works.,f3dc7ff2b9903e8e1330a567543653cd25b36cc2995f96b649373d8e849948a3,Swindon Borough Council,E06000030
