resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000001,Derbys Quay Bridge Wharf Gillingham Dam Gillingham Beccles Norfolk NR34 0PA,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MOJ2UJTB00200,yes,not owned by a public authority,permissioned,full planning permission,,52.464464,1.560871,0.03,2,2,2017-11-23,,Planning application number: BA/2013/0171/EXT8W extends time limit for BA/2010/0124/FUL.. Application to extend time limit of previous PP - BA/2010/0124/FUL for the conversion of offices and stores into two first floor holiday studio flats,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000002,"Barnes Brinkcraft (Formerly Moore & Co), Staitheway Road, Wroxham, Norwich, NR12 8TH",http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXYOW9TB01W00,yes,not owned by a public authority,permissioned,full planning permission,,52.709253,1.406998,0.06,3,3,2017-11-23,,Planning application number: BA/2015/0381/FUL .. BA/2015/0381/FUL Part demolition of boatshed and erection of 3 no. holiday dwellings. Application for re-approval of extant permission BA/2013/0019/FUL.,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000003,The Valley House Low Road Mettingham Suffolk NR35 1TS,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZUKQATBFTZ00,yes,not owned by a public authority,permissioned,full planning permission,,52.465423,1.472336,2.56,4,4,2017-11-23,,BA/2014/0239/FUL withdrawn. BA/2003/6138/HISTAP  Approved subject to conditions.. Conversion of existing barns and outbuildings to form new residential units and erection of a new stable block.,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000004,Riverside House Woods End Kirby Bedon NR14 7ED,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OF0SJATBG8V00,yes,not owned by a public authority,permissioned,other,,52.605294,1.380951,0.21,1,1,2017-11-23,,Planning application number: BA/2016/0379/CU.. Extension to existing residential dwelling and conversion of outbuilding to holiday accommodation,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000005,"Old Broads Hotel Site, Station Road, Hoveton",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,yes,not owned by a public authority,not permissioned,,,52.713662,1.408405,0.11,0,0,2017-11-23,,Allocated in emerging Local Plan - Policy HOV3.. Allocated in emerging Local Plan for A3 and A4 land uses and an element of residential may be acceptable. Policy HOV3.,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000006,"Former Waterside Rooms, Station Road, Hoveton.",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,yes,not owned by a public authority,not permissioned,,,52.712854,1.40878,0.1,0,0,2017-11-23,,Allocated in emerging Local Plan - Policy HOV3.. Allocated in emerging Local Plan for A3 and A4 uses and an element of residential may be acceptable. Policy HOV3.,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000007,"Building next to Kings Head Hotel, Station Road, Hoveton.",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,yes,not owned by a public authority,not permissioned,,,52.712724,1.409031,0.03,0,0,2017-11-23,,Allocated in emerging Local Plan - Policy HOV3.. Allocated in emerging Local Plan for holiday accommodation. Policy HOV3.,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000008,"Former Pegasus/Hamptons Site, Coldecott Road, Oulton Broad, Suffolk",http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M96Z8STBT0000,yes,not owned by a public authority,permissioned,full planning permission,yes,52.477034,1.708607,1.69,76,76,2017-11-23,,"Was allocated in 2014 Site Specific Local Plan and allocated in emerging Local Plan policy OUL2. Details of the application (BA/2012/0271/FUL). Re-development of former Pegasus Boatyard to provide 76 dwellings, new boatyard buildings, office, moorings and new access road. Policy Number OUL2 and Planning Application Number BA/2012/0271/FUL.",aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000009,"Spinnakers, near A143, St Olaves, Norfolk.",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0012/995574/16_ST_OLAVES-new.pdf,yes,not owned by a public authority,not permissioned,,,52.534793,1.617158,0.12,1,1,2017-11-23,,Allocated in Sites Specifics Local Plan 2014. Allocated in emerging Local Plan Policy SOL2.. Allocated in emerging Local Plan for holiday accommodation amongst other uses to complement the flood risk in the area. Policy SOL2.,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
2018-05-22,2017-11-23,national-park-authority:Q4972284,BF000010,"Hedera House, The Street, Thurne, Norfolk",http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9TEYTB01W00,yes,not owned by a public authority,permissioned,outline planning permission,,52.686439,1.554869,0.77,16,16,2017-11-23,,Allocated in Sites Specifics Local Plan 2014 and draft allocated in emerging new Local Plan Policy THU1. Details of the planning application: BA/2017/0103/OUT. Outline application to redevelop Hedera House to form 6 residential dwellings and 10 new holiday cottages. Policy number THU1. Planning Application number: BA/2017/0103/OUT,aa0156de0c16bfcb78fed85a0a63a5a3290763e2654b3d920129044e47d72eea,Broads Authority,E26000007
