resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-01,local-authority-eng:STF,BB090,"Land and Buildings at, Blythe Bridge Police Station, 285-291 Uttoxeter Road",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,,owned by a public authority,not permissioned,,,52.967358,-2.068091,0.33,,,2017-12-01,,. Police Station & associated office buildings/rear car parking/front grass. Unclear if still in use,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,BD055,"Site of former, Meadows School, Tunstall Road",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,,owned by a public authority,not permissioned,,,53.109692,-2.179966,0.66,,,2017-12-01,,. Former school now derelict,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,BD056,"Uplands Mill, The Uplands",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,yes,not owned by a public authority,permissioned,outline planning permission,,53.122569,-2.163702,6.55,,,2017-12-01,,. Residential redevelopment under construction,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,BD070,"Forge Colour Works, Congleton Road",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,,,permissioned,full planning permission,,53.135021,-2.168413,1.76,,,2017-12-01,,. Has permission,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,BD075?,"46B, Station Road",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,yes,,permissioned,full planning permission,,53.120403,-2.176096,0.49,,,2017-12-01,,. Conversion of chapel Sunday school to 4no. Flats,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,BD102,"Minster Mill, Walley Street",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,,not owned by a public authority,not permissioned,,,53.118661,-2.174714,0.28,,,2017-12-01,,. Underused retail & employment site,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,CH012,"Lightwood, Well Street, not highwayman.",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,yes,,permissioned,full planning permission,,52.986038,-1.983231,0.48,,,2017-12-01,,. Has planning permission,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,CH014,"Hurst Yard, Meadow Drive / Bank Street",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,yes,not owned by a public authority,permissioned,full planning permission,,52.985185,-1.989264,0.95,,,2017-12-01,,. Has permission for 42 residential units - all social rented,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,CH015,"Stoddards Depot, Leek Road",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,,not owned by a public authority,not permissioned,,,52.990209,-1.986105,0.8,,,2017-12-01,,. Coach Depot and Oil Depot Yard,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
2018-05-22,2017-12-01,local-authority-eng:STF,CH020,"Land north of, The Green",https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,,not owned by a public authority,not permissioned,,,52.984133,-2.005827,1.2,,,2017-12-01,,. Mixed Use Site,25118dbeb2d2d440db699ce09563324b032645028eaa3aea425bc0808c38112f,Staffordshire Moorlands District Council
