organisation,latitude,longitude,hectares,end-date
local-authority-eng:SNR,52.154797,-0.892718,11.1,
local-authority-eng:SNR,52.048212,-0.884344,0.35,
local-authority-eng:SNR,52.15397,-0.89651,3.27,
local-authority-eng:SNR,52.174413,-0.942419,1.08,
local-authority-eng:SNR,51.993259,-1.252893,5.41,
local-authority-eng:SNR,52.029163,-1.13509,0.36,
local-authority-eng:SNR,52.033255,-1.143961,0.73,
local-authority-eng:SNR,52.237538,-0.788149,0.73,
local-authority-eng:SNR,52.239925,-0.784232,0.15,
local-authority-eng:SNR,52.088405,-1.026903,0.49,
local-authority-eng:SNR,52.125155,-0.983727,3.74,
local-authority-eng:SNR,52.155737,-0.888383,0.6,
local-authority-eng:SNR,52.090368,-1.027182,0.35,
local-authority-eng:SNR,52.029163,-1.13509,1.48,
local-authority-eng:SNR,52.236406,-0.784724,1.58,
local-authority-eng:SNR,52.127102,-1.002176,1.3,
local-authority-eng:SNR,54.116291,-1.098558,2.36,
local-authority-eng:SNR,52.133381,-0.988799,2.74,
local-authority-eng:SNR,52.050563,-0.884884,1.63,
local-authority-eng:SNR,52.133444,-0.988798,0.18,
local-authority-eng:SNR,52.050121,-0.886645,0.28,
local-authority-eng:SNR,52.041329,-1.140206,0.49,
local-authority-eng:DOV,51.13201,1.307303,0.69,
local-authority-eng:DOV,51.123533,1.311557,0.4,
local-authority-eng:DOV,51.13312,1.300834,0.33,
local-authority-eng:DOV,51.1315,1.282334,6.78,
local-authority-eng:DOV,51.135489,1.299431,0.25,
local-authority-eng:DOV,51.140772,1.302196,0.26,
local-authority-eng:DOV,51.229557,1.401562,0.56,
local-authority-eng:DOV,51.19978,1.327922,1,
local-authority-eng:DOV,51.243496,1.305426,3.29,
local-authority-eng:DOV,51.242483,1.295737,0.68,
local-authority-eng:DOV,51.223837,1.240027,1.14,
local-authority-eng:DOV,51.133623,1.319599,10.12,
local-authority-eng:DOV,51.138567,1.293016,4,
local-authority-eng:DOV,51.131444,1.28273,2.62,
local-authority-eng:DOV,51.132883,1.294884,0.74,
local-authority-eng:DOV,51.185194,1.401499,0.29,
local-authority-eng:DOV,51.276269,1.347032,12.2,
local-authority-eng:DOV,51.113292,1.293275,0.15,
local-authority-eng:DOV,51.124453,1.311494,0.03,
local-authority-eng:DOV,51.224374,1.202892,0.27,
local-authority-eng:DOV,51.254708,1.285159,0.38,
local-authority-eng:DOV,51.122377,1.311117,0.11,
local-authority-eng:DOV,51.276662,1.340191,0.05,
local-authority-eng:DOV,51.287413,1.34516,72.3,
local-authority-eng:DOV,51.282659,1.277028,0.16,
local-authority-eng:SEL,53.793074,-1.040907,15.85,
local-authority-eng:SEL,53.729223,-1.274013,1.6,
local-authority-eng:SEL,53.726351,-1.270288,0.36,
local-authority-eng:SEL,53.722618,-1.258062,0.13,
local-authority-eng:SEL,53.709346,-1.020798,0.16,
local-authority-eng:SEL,53.83262,-1.131386,0.09,
local-authority-eng:SEL,53.706159,-1.155959,0.17,
local-authority-eng:SEL,53.771115,-1.16197,0.28,
local-authority-eng:SEL,53.775691,-1.248933,0.18,
local-authority-eng:SEL,53.772006,-1.246085,0.39,
local-authority-eng:SEL,53.774769,-1.080443,0.38,
local-authority-eng:SEL,53.781503,-1.067927,0.46,
local-authority-eng:SEL,53.779444,-1.06902,0.95,
