organisation,latitude,longitude,hectares,end-date
local-authority-eng:SEL,53.787789,-1.069397,0.34,
local-authority-eng:SEL,53.774571,-1.067641,6,
local-authority-eng:SEL,53.789503,-1.069116,7.43,
local-authority-eng:SEL,53.787196,-1.06944,0.06,
local-authority-eng:SEL,53.777263,-1.063651,0.75,
local-authority-eng:SEL,53.781637,-1.059683,0.14,
local-authority-eng:SEL,53.784311,-1.063737,0.17,
local-authority-eng:SEL,53.781073,-1.082111,0.4,
local-authority-eng:SEL,53.782491,-1.074705,0.23,
local-authority-eng:SEL,53.780748,-1.056425,7.53,
local-authority-eng:SEL,53.777902,-1.066034,0.64,
local-authority-eng:SEL,53.778781,-1.065757,0.63,
local-authority-eng:SEL,53.779807,-1.07056,2.29,
local-authority-eng:SEL,53.782845,-1.061356,0.41,
local-authority-eng:SEL,53.780417,-1.053139,5.44,
local-authority-eng:SEL,53.785624,-1.0524,42.71,
local-authority-eng:SEL,53.887894,-1.258319,0.22,
local-authority-eng:SEL,53.887647,-1.257639,0.15,
local-authority-eng:SEL,53.883092,-1.272704,0.36,
local-authority-eng:SEL,53.778424,-1.125722,0.32,
local-authority-eng:SEL,53.773359,-1.125099,0.48,
local-authority-eng:SEL,53.833622,-1.208709,3.14,
local-authority-eng:SEL,53.835924,-1.206189,5.29,
local-authority-eng:NGM,52.954959,-1.142269,0.02,
local-authority-eng:NGM,52.965995,-1.17206,0.079,
local-authority-eng:NGM,52.952024,-1.144022,0.014,
local-authority-eng:NGM,52.956369,-1.171439,0.616,
local-authority-eng:NGM,52.960727,-1.175413,0.139,
local-authority-eng:NGM,52.981413,-1.137761,0.248,
local-authority-eng:NGM,52.952316,-1.144415,0.032,
local-authority-eng:NGM,52.979123,-1.173844,0.046,
local-authority-eng:NGM,52.977497,-1.168288,0.094,
local-authority-eng:NGM,52.956643,-1.126284,1.486,
local-authority-eng:NGM,52.952516,-1.149709,0.03,
local-authority-eng:NGM,52.953175,-1.143656,0.031,
local-authority-eng:NGM,52.989631,-1.183719,0.554,
local-authority-eng:NGM,52.950262,-1.172686,2.237,
local-authority-eng:NGM,52.977703,-1.232219,0.579,
local-authority-eng:NGM,52.971012,-1.124341,0.224,
local-authority-eng:NGM,52.962714,-1.151949,0.03,
local-authority-eng:NGM,52.940721,-1.138414,0.123,
local-authority-eng:NGM,52.950582,-1.128419,0.026,
local-authority-eng:NGM,52.952422,-1.147856,0.042,
local-authority-eng:NGM,52.954053,-1.14095,0.105,
local-authority-eng:NGM,52.969062,-1.17377,0.098,
local-authority-eng:NGM,52.962227,-1.150308,0.058,
local-authority-eng:NGM,52.959653,-1.179497,0.252,
local-authority-eng:NGM,52.955765,-1.157425,0.271,
local-authority-eng:NGM,52.961929,-1.175335,0.801,
local-authority-eng:NGM,52.956101,-1.170235,0.091,
local-authority-eng:NGM,52.956028,-1.161024,0.019,
local-authority-eng:NGM,52.965011,-1.147982,0.3,
local-authority-eng:NGM,52.953995,-1.148881,0.04,
local-authority-eng:NGM,52.947539,-1.158543,0.015,
local-authority-eng:NGM,52.954253,-1.121772,0.109,
local-authority-eng:NGM,52.972069,-1.1548,0.075,
local-authority-eng:NGM,52.954185,-1.151535,0.008,
local-authority-eng:NGM,52.973946,-1.171499,0.263,
local-authority-eng:NGM,52.954209,-1.153034,0.025,
local-authority-eng:NGM,52.971898,-1.165863,0.205,
local-authority-eng:NGM,52.959596,-1.165793,0.105,
local-authority-eng:NGM,52.942071,-1.159488,0.177,
local-authority-eng:NGM,52.96885,-1.126355,0.877,
local-authority-eng:NGM,52.974266,-1.216945,0.42,
local-authority-eng:NGM,52.963532,-1.147459,0.283,
local-authority-eng:NGM,53.002697,-1.158327,0.624,
local-authority-eng:NGM,52.94896,-1.171427,0.187,
local-authority-eng:NGM,52.955808,-1.144603,0.17,
local-authority-eng:NGM,52.951251,-1.152593,0.072,
local-authority-eng:NGM,52.950344,-1.176309,0.024,
local-authority-eng:NGM,52.951327,-1.151198,0.06,
local-authority-eng:NGM,52.964014,-1.149583,0.031,
local-authority-eng:NGM,52.953876,-1.149778,0.036,
local-authority-eng:NGM,52.953395,-1.143353,0.039,
local-authority-eng:NGM,52.98047,-1.145969,0.093,
local-authority-eng:NGM,52.95533,-1.164498,0.054,
local-authority-eng:NGM,52.970898,-1.158582,0.097,
local-authority-eng:NGM,52.995594,-1.188755,0.3,
local-authority-eng:NGM,52.993375,-1.188136,0.99,
local-authority-eng:NGM,52.946382,-1.173967,0.262,
local-authority-eng:NGM,52.991905,-1.16259,2.579,
local-authority-eng:NGM,52.96536,-1.13795,0.221,
local-authority-eng:NGM,52.97943,-1.209651,1.212,
local-authority-eng:NGM,52.958145,-1.172145,0.073,
local-authority-eng:NGM,52.944201,-1.178358,0.134,
local-authority-eng:NGM,52.938669,-1.154939,0.306,
local-authority-eng:NGM,52.969853,-1.140617,0.332,
local-authority-eng:NGM,52.944829,-1.124936,8.994,
local-authority-eng:NGM,52.957822,-1.150633,0.193,
local-authority-eng:NGM,52.936866,-1.14272,0.31,
local-authority-eng:NGM,52.945564,-1.141324,0.941,
local-authority-eng:NGM,52.964172,-1.12074,0.139,
local-authority-eng:NGM,52.954052,-1.16818,0.078,
local-authority-eng:NGM,52.980133,-1.158261,1.53,
local-authority-eng:NGM,52.946211,-1.18308,1.062,
local-authority-eng:NGM,52.96599,-1.183894,1.018,
local-authority-eng:NGM,52.953862,-1.180718,0.517,
local-authority-eng:NGM,52.956149,-1.163116,0.09,
local-authority-eng:NGM,52.974215,-1.138845,0.704,
local-authority-eng:NGM,52.94336,-1.153745,0.189,
local-authority-eng:NGM,52.957457,-1.144263,0.756,
local-authority-eng:NGM,52.955619,-1.141982,0.288,
local-authority-eng:NGM,52.939814,-1.157951,0.158,
local-authority-eng:NGM,52.955059,-1.144145,0.081,
local-authority-eng:NGM,53.016853,-1.183794,1.675,
local-authority-eng:NGM,52.952747,-1.174206,1.848,
local-authority-eng:NGM,52.965129,-1.202591,0.947,
local-authority-eng:NGM,52.946152,-1.142931,0.144,
local-authority-eng:NGM,52.945678,-1.149904,1.426,
local-authority-eng:NGM,52.945624,-1.150888,1.073,
local-authority-eng:NGM,52.950245,-1.141256,0.134,
local-authority-eng:NGM,52.950513,-1.140752,0.186,
local-authority-eng:NGM,52.952401,-1.137301,2.539,
local-authority-eng:NGM,52.956314,-1.142347,0.095,
local-authority-eng:NGM,52.942287,-1.139163,0.947,
local-authority-eng:NGM,52.977924,-1.178052,1.571,
local-authority-eng:NGM,52.964563,-1.116675,0.128,
local-authority-eng:NGM,52.980331,-1.130739,0.059,
local-authority-eng:NGM,53.0058,-1.168337,0.215,
local-authority-eng:NGM,52.948957,-1.175171,0.041,
local-authority-eng:NGM,52.976244,-1.17323,0.028,
local-authority-eng:NGM,52.994562,-1.1897,0.163,
local-authority-eng:NGM,52.974054,-1.153143,0.152,
local-authority-eng:NGM,52.948124,-1.172294,0.504,
local-authority-eng:NGM,52.970735,-1.219769,3.04,
local-authority-eng:NGM,52.998493,-1.204253,0.415,
local-authority-eng:NGM,52.943654,-1.121406,2.296,
local-authority-eng:NGM,52.956127,-1.141687,0.311,
local-authority-eng:NGM,52.999576,-1.193791,0.099,
local-authority-eng:NGM,52.958753,-1.1273,0.078,
local-authority-eng:NGM,52.956893,-1.129341,0.201,
local-authority-eng:NGM,53.004693,-1.172896,2.55,
local-authority-eng:NGM,52.954698,-1.09754,0.538,
local-authority-eng:NGM,52.953093,-1.120945,0.244,
local-authority-eng:SEL,53.725184,-1.263231,0.13,
local-authority-eng:SEL,53.704938,-1.156134,0.14,
local-authority-eng:SAW,52.536503,-2.037006,1.01,
local-authority-eng:SAW,52.529361,-2.047745,2.3,
local-authority-eng:SAW,52.525717,-2.029818,0.41,
local-authority-eng:SAW,52.52693,-2.073567,0.62,
local-authority-eng:SAW,52.470246,-2.089812,0.4,
local-authority-eng:SAW,52.535079,-1.998571,0.14,
local-authority-eng:SAW,52.500629,-1.981646,0.18,
local-authority-eng:SAW,52.513368,-1.986046,1.04,
local-authority-eng:SAW,52.532544,-1.994001,0.85,
local-authority-eng:SAW,52.490068,-1.957762,0.25,
local-authority-eng:SAW,52.501835,-1.993916,0.29,
local-authority-eng:SAW,52.54424,-2.046022,0.55,
local-authority-eng:SAW,52.529707,-2.057268,0.2,
local-authority-eng:SAW,52.542713,-2.062667,0.13,
local-authority-eng:SAW,52.55928,-2.004751,0.39,
local-authority-eng:SAW,52.490282,-2.00869,2.4,
local-authority-eng:SAW,52.511283,-2.007427,0.07,
local-authority-eng:SAW,52.172169,-2.072934,0.57,
local-authority-eng:SAW,52.538229,-2.059314,1.58,
local-authority-eng:SAW,52.467622,-2.059233,0.5,
local-authority-eng:SAW,52.475766,-2.060187,0.27,
local-authority-eng:SAW,52.533392,-2.060148,1.09,
local-authority-eng:SAW,52.541846,-2.070407,5.6,
local-authority-eng:SAW,52.497578,-1.966063,8.77,
local-authority-eng:SAW,52.493562,-1.949172,7.08,
local-authority-eng:SAW,52.521872,-2.014061,6.5,
local-authority-eng:SAW,52.518259,-2.005527,1.47,
local-authority-eng:SAW,52.520001,-2.022564,16.82,
local-authority-eng:SAW,52.51904,-2.016138,6.2,
local-authority-eng:SAW,52.512766,-2.009239,1.05,
local-authority-eng:SAW,52.531295,-1.997804,2.75,
local-authority-eng:SAW,52.526583,-1.988312,3.08,
local-authority-eng:SAW,52.469726,-2.086955,1.06,
local-authority-eng:SAW,52.529995,-2.058345,0.12,
local-authority-eng:SAW,52.519752,-2.063475,7.6,
local-authority-eng:SAW,52.497597,-2.029284,0.2,
local-authority-eng:SAW,52.466859,-2.057702,1.56,
local-authority-eng:SAW,52.529593,-2.069724,0.48,
local-authority-eng:SAW,52.523069,-1.998188,0.21,
local-authority-eng:SAW,52.553922,-2.005119,0.52,
local-authority-eng:SAW,52.52901,-1.986307,0.05,
local-authority-eng:SAW,52.483726,-1.971198,0.73,
local-authority-eng:SAW,52.559007,-2.026198,5.2,
local-authority-eng:SAW,52.549911,-2.017005,1.07,
local-authority-eng:SAW,52.528423,-2.030675,0.28,
local-authority-eng:SAW,52.532664,-2.036825,0.4,
local-authority-eng:SAW,52.528131,-2.042836,0.35,
local-authority-eng:SAW,52.529863,-2.052021,0.76,
local-authority-eng:SAW,52.529464,-2.074028,1.12,
local-authority-eng:SAW,52.514625,-2.051207,0.36,
local-authority-eng:SAW,52.514411,-2.048731,0.63,
local-authority-eng:SAW,52.514287,-2.043824,1.78,
local-authority-eng:SAW,52.514835,-2.042749,1.76,
local-authority-eng:SAW,52.516001,-2.049794,1.18,
local-authority-eng:SAW,52.530164,-2.061161,2.2,
local-authority-eng:SAW,52.528271,-2.028169,2.18,
local-authority-eng:SAW,52.51486,-2.049807,0.46,
local-authority-eng:SAW,52.530578,-2.075696,2.19,
local-authority-eng:SAW,52.515156,-2.050869,0.82,
local-authority-eng:SAW,52.514635,-2.049527,0.37,
local-authority-eng:SAW,52.489068,-2.01433,0.28,
local-authority-eng:SAW,52.487027,-2.049452,1.13,
local-authority-eng:SAW,52.488519,-2.048879,0.38,
local-authority-eng:SAW,52.501996,-1.988348,0.57,
local-authority-eng:SAW,52.491168,-1.966671,0.37,
local-authority-eng:SAW,52.494984,-2.003049,1.15,
local-authority-eng:SAW,52.492584,-2.007129,2.72,
local-authority-eng:SAW,52.494598,-2.003167,0.25,
local-authority-eng:SAW,52.486999,-2.025065,0.93,
local-authority-eng:SAW,52.502248,-1.99374,2.89,
local-authority-eng:SAW,52.501996,-1.988348,0.68,
local-authority-eng:SAW,52.501979,-1.999721,1.48,
local-authority-eng:SAW,52.471049,-2.055911,0.95,
local-authority-eng:SAW,52.469612,-2.083187,0.29,
local-authority-eng:SAW,52.470623,-2.077904,1.64,
local-authority-eng:SAW,52.468322,-2.089705,8.11,
local-authority-eng:SAW,52.469682,-2.05669,0.95,
local-authority-eng:SAW,52.476276,-2.046539,0.35,
local-authority-eng:SAW,52.542631,-1.954144,0.3,
local-authority-eng:SAW,52.544608,-2.066946,0.63,
local-authority-eng:SAW,52.488983,-2.057304,1.06,
local-authority-eng:SAW,52.51182,-2.025757,2.13,
local-authority-eng:SAW,52.54609,-1.975596,0.23,
local-authority-eng:SAW,52.472668,-2.084841,0.4,
local-authority-eng:SAW,52.487332,-2.021442,0.04,
local-authority-eng:SAW,52.492179,-1.990898,0.5,
local-authority-eng:SAW,52.490665,-2.056776,0.15,
local-authority-eng:SAW,52.531073,-2.059673,2.42,
local-authority-eng:SAW,52.535024,-2.020419,6.25,
local-authority-eng:SAW,52.469905,-2.08912,0.28,
local-authority-eng:SAW,52.552708,-2.006151,0.01,
local-authority-eng:SAW,52.493141,-2.047839,51.22,
local-authority-eng:SAW,52.55142,-2.027049,10.7,
local-authority-eng:SAW,52.529987,-2.031561,3.96,
local-authority-eng:SAW,52.550153,-2.024939,0.94,
local-authority-eng:SAW,52.549721,-2.025927,0.17,
local-authority-eng:SAW,52.550539,-2.024025,0.19,
local-authority-eng:SAW,52.489114,-2.00324,0.1,
local-authority-eng:SAW,52.535103,-2.071192,2.24,
local-authority-eng:SAW,52.53232,-2.000708,5.2,
local-authority-eng:SAW,52.533879,-2.072591,1.5,
local-authority-eng:SAW,52.550044,-2.027003,1.14,
local-authority-eng:SAW,52.550512,-2.025809,0.85,
local-authority-eng:SAW,52.551052,-2.024762,1.18,
local-authority-eng:SAW,52.548002,-2.466917,0.74,
local-authority-eng:SAW,52.551512,-2.01671,0.12,
local-authority-eng:SAW,52.492319,-1.96804,0.1,
local-authority-eng:SAW,52.548595,-1.940895,0.43,
local-authority-eng:SAW,52.491523,-2.009205,0.1,
local-authority-eng:SAW,52.523537,-2.043406,0.52,
local-authority-eng:SAW,52.517706,-2.057371,0.1,
local-authority-eng:SAW,52.516839,-1.989685,0.03,
local-authority-eng:SAW,52.556995,-2.022111,0.11,
local-authority-eng:SAW,52.502059,-1.98988,1.06,
local-authority-eng:SAW,52.482846,-1.980578,0.7,
local-authority-eng:SAW,52.488996,-2.018395,0.1,
local-authority-eng:SAW,52.522095,-2.026839,0.21,
local-authority-eng:SAW,52.523321,-1.997421,0.13,
local-authority-eng:SAW,52.493874,-1.966154,0.24,
local-authority-eng:SAW,52.48505,-2.047815,0.56,
local-authority-eng:SAW,52.485413,-2.038199,0.76,
local-authority-eng:SAW,52.476672,-2.07946,0.52,
local-authority-eng:STY,54.944618,-1.451765,0.7,
local-authority-eng:STY,54.965278,-1.526673,10.4,
local-authority-eng:STY,54.971125,-1.523511,0.07,
local-authority-eng:STY,54.991733,-1.428273,0.03,
local-authority-eng:STY,54.962588,-1.465155,0.6,
local-authority-eng:STY,54.976801,-1.485229,0.4,
local-authority-eng:STY,54.977993,-1.486651,0.5,
local-authority-eng:STY,54.976639,-1.423128,0.4,
local-authority-eng:STY,54.97325,-1.454046,0.2,
local-authority-eng:STY,54.972545,-1.44123,0.1,
local-authority-eng:STY,54.9694,-1.439431,0.14,
local-authority-eng:STY,54.945549,-1.448911,0.14,
local-authority-eng:STY,54.967936,-1.447308,0.1,
local-authority-eng:STY,54.969577,-1.43885,0.11,
local-authority-eng:STY,54.979192,-1.388296,0.5,
local-authority-eng:STY,54.962569,-1.365949,0.18,
local-authority-eng:STY,54.951594,-1.367043,0.6,
local-authority-eng:STY,54.946682,-1.443056,0.24,
local-authority-eng:STY,54.958728,-1.404208,0.6,
local-authority-eng:STY,54.957796,-1.487783,0.08,
local-authority-eng:STY,54.97312,-1.521269,7.5,
local-authority-eng:STY,54.976873,-1.520428,2.7,
local-authority-eng:STY,54.978444,-1.500067,0.5,
local-authority-eng:STY,54.973544,-1.508204,3.1,
local-authority-eng:RUG,52.357686,-1.187765,4.6,
local-authority-eng:PRE,53.75807,-2.692935,0.14,
local-authority-eng:PRE,53.758682,-2.692809,0.04,
local-authority-eng:PRE,53.758582,-2.694566,0.2,
local-authority-eng:PRE,53.758762,-2.6946,0.4,
local-authority-eng:BRM,52.32195,-2.051541,0.48,
local-authority-eng:BRM,52.346602,-2.020111,2.06,
local-authority-eng:BRM,52.346971,-2.019671,1.93,
local-authority-eng:BRM,52.385458,-1.885544,0.25,
local-authority-eng:BRM,52.325832,-2.072674,0.28,
local-authority-eng:BRM,52.353628,-1.96121,0.25,
local-authority-eng:BRM,52.341639,-2.049876,0.25,
local-authority-eng:BRM,52.341361,-2.0492,0.3,
local-authority-eng:BRM,52.341037,-2.018215,1.213,
local-authority-eng:BRM,52.326554,-2.050915,0.32,
local-authority-eng:BRM,52.494147,-2.081672,8.5,
local-authority-eng:BRM,52.415877,-2.14913,0.239,
local-authority-eng:BRM,52.351765,-2.062264,1.059,
local-authority-eng:BRM,52.345322,-2.073191,0.27,
local-authority-eng:LDS,53.826734,-1.57375,0.51,
local-authority-eng:LDS,53.833527,-1.591337,1.22,
local-authority-eng:LDS,53.804596,-1.636473,0.69,
local-authority-eng:LDS,53.790863,-1.667648,0.53,
local-authority-eng:LDS,53.834418,-1.670678,7.86,
local-authority-eng:LDS,53.826245,-1.606751,0.48,
local-authority-eng:LDS,53.799361,-1.603814,1,
local-authority-eng:LDS,53.780392,-1.658155,1.32,
local-authority-eng:LDS,53.841262,-1.623161,1.3,
local-authority-eng:LDS,53.903342,-1.349586,0.54,
local-authority-eng:LDS,53.829482,-1.565563,0.47,
local-authority-eng:LDS,53.752189,-1.448251,1.33,
local-authority-eng:LDS,53.736096,-1.593934,0.99,
local-authority-eng:LDS,53.756764,-1.438561,2.32,
local-authority-eng:LDS,53.814629,-1.619769,1.09,
local-authority-eng:LDS,53.826481,-1.578279,2.56,
local-authority-eng:LDS,53.867932,-1.694167,0.42,
local-authority-eng:LDS,53.804533,-1.558563,0.14,
local-authority-eng:LDS,53.811576,-1.555148,1.08,
local-authority-eng:LDS,53.800569,-1.534843,0.91,
local-authority-eng:LDS,53.798806,-1.5655,2.08,
local-authority-eng:LDS,53.790628,-1.556143,0.37,
local-authority-eng:LDS,53.79248,-1.551266,0.4,
local-authority-eng:LDS,53.789055,-1.525484,2.82,
local-authority-eng:LDS,53.801819,-1.53032,1.18,
local-authority-eng:LDS,53.789423,-1.52979,0.17,
local-authority-eng:LDS,53.791287,-1.54967,2.2,
local-authority-eng:LDS,53.800664,-1.562262,0.14,
local-authority-eng:LDS,53.789064,-1.534758,2.42,
local-authority-eng:LDS,53.798231,-1.555851,1.32,
local-authority-eng:LDS,53.830196,-1.640292,0.71,
local-authority-eng:LDS,53.808401,-1.640328,2.75,
local-authority-eng:LDS,53.828786,-1.557017,2.63,
local-authority-eng:LDS,53.825627,-1.553526,0.49,
local-authority-eng:LDS,53.768374,-1.371121,0.55,
local-authority-eng:LDS,53.802581,-1.481708,0.64,
local-authority-eng:LDS,53.808501,-1.511005,0.45,
local-authority-eng:LDS,53.793983,-1.52605,0.78,
local-authority-eng:LDS,53.806626,-1.439794,3.98,
local-authority-eng:LDS,53.808885,-1.43656,6.3,
local-authority-eng:LDS,53.752487,-1.392772,2.11,
local-authority-eng:LDS,53.79508,-1.523943,0.41,
local-authority-eng:LDS,53.744952,-1.357702,1.8,
local-authority-eng:LDS,53.904688,-1.695802,0.74,
local-authority-eng:LDS,53.905599,-1.697059,1.86,
local-authority-eng:LDS,53.752801,-1.668721,1.58,
local-authority-eng:LDS,53.777234,-1.53196,1.29,
local-authority-eng:LDS,53.768793,-1.565127,1.23,
local-authority-eng:LDS,53.840397,-1.613884,24.38,
local-authority-eng:LDS,53.827498,-1.558641,2.7,
local-authority-eng:LDS,53.79476,-1.538642,0.04,
local-authority-eng:LDS,53.797513,-1.558637,0.22,
local-authority-eng:LDS,53.792493,-1.55242,1.13,
local-authority-eng:LDS,53.789691,-1.550628,0.1,
local-authority-eng:LDS,53.789101,-1.549117,1.9,
local-authority-eng:LDS,53.790695,-1.554837,0.99,
local-authority-eng:LDS,53.803512,-1.53349,0.17,
local-authority-eng:LDS,53.803196,-1.53079,0.57,
local-authority-eng:LDS,53.795077,-1.536923,0.07,
local-authority-eng:LDS,53.794547,-1.532405,1.82,
local-authority-eng:LDS,53.803165,-1.53442,0.03,
local-authority-eng:LDS,53.795918,-1.550243,0.02,
local-authority-eng:LDS,53.79932,-1.548901,0.05,
local-authority-eng:LDS,53.794705,-1.538415,0.03,
local-authority-eng:LDS,53.792526,-1.558962,1.85,
local-authority-eng:LDS,53.787631,-1.524452,0.55,
local-authority-eng:LDS,53.800858,-1.537406,0.1,
local-authority-eng:LDS,53.803687,-1.534581,0.18,
local-authority-eng:LDS,53.787214,-1.549061,2.93,
local-authority-eng:LDS,53.800985,-1.551889,0.02,
local-authority-eng:LDS,53.793533,-1.561532,3.49,
local-authority-eng:LDS,53.796183,-1.541906,0.04,
local-authority-eng:LDS,53.792205,-1.554806,1.79,
local-authority-eng:LDS,53.803126,-1.5476,0.92,
local-authority-eng:LDS,53.794783,-1.540054,0.35,
local-authority-eng:LDS,53.794103,-1.493775,7.26,
local-authority-eng:LDS,53.78508,-1.525012,2.29,
local-authority-eng:LDS,53.781309,-1.551674,0.51,
local-authority-eng:LDS,53.770713,-1.561557,0.54,
local-authority-eng:LDS,53.727996,-1.524609,7.4,
local-authority-eng:LDS,53.740156,-1.489314,0.5,
local-authority-eng:LDS,53.746372,-1.542068,4.26,
local-authority-eng:LDS,53.740024,-1.400577,0.53,
local-authority-eng:LDS,53.738138,-1.393585,0.47,
local-authority-eng:LDS,53.744379,-1.595143,0.4,
local-authority-eng:LDS,53.719551,-1.584061,0.63,
local-authority-eng:LDS,53.74835,-1.592239,0.8,
local-authority-eng:LDS,53.785597,-1.600316,1.34,
local-authority-eng:LDS,53.825868,-1.638537,2.22,
local-authority-eng:LDS,53.805312,-1.635419,0.83,
local-authority-eng:LDS,53.808243,-1.575425,0.57,
local-authority-eng:LDS,53.813325,-1.608223,1.12,
local-authority-eng:LDS,53.825755,-1.625031,17.82,
local-authority-eng:LDS,53.810072,-1.646449,1.99,
local-authority-eng:LDS,53.777207,-1.590897,5.34,
local-authority-eng:LDS,53.790644,-1.593605,1.42,
local-authority-eng:LDS,53.795554,-1.627654,0.61,
local-authority-eng:LDS,53.805027,-1.67399,1.17,
local-authority-eng:LDS,53.852159,-1.573204,5.6,
local-authority-eng:LDS,53.845194,-1.578427,2.74,
local-authority-eng:LDS,53.845965,-1.615307,7.16,
local-authority-eng:LDS,53.87959,-1.716564,5.43,
local-authority-eng:LDS,53.838987,-1.566788,1,
local-authority-eng:LDS,53.8787,-1.353527,0.29,
local-authority-eng:LDS,53.879123,-1.355331,0.9,
local-authority-eng:LDS,53.928734,-1.425918,0.54,
local-authority-eng:LDS,53.820771,-1.441216,4.75,
local-authority-eng:LDS,53.822495,-1.442636,0.5,
local-authority-eng:LDS,53.812627,-1.493795,2.25,
local-authority-eng:LDS,53.815807,-1.466342,4.08,
local-authority-eng:LDS,53.816362,-1.457723,0.93,
local-authority-eng:LDS,53.745063,-1.363235,14.72,
local-authority-eng:LDS,53.791798,-1.39219,0.75,
local-authority-eng:LDS,53.814509,-1.496658,3.46,
local-authority-eng:LDS,53.825465,-1.529798,0.61,
local-authority-eng:LDS,53.808338,-1.478691,10.43,
local-authority-eng:LDS,53.800809,-1.536359,0.2,
local-authority-eng:LDS,53.846932,-1.589794,4.7,
local-authority-eng:LDS,53.723213,-1.564794,0.64,
local-authority-eng:LDS,53.783842,-1.525451,0.62,
local-authority-eng:LDS,53.760555,-1.651823,1.3,
local-authority-eng:LDS,53.795863,-1.530978,0.19,
local-authority-eng:LDS,53.909645,-1.68712,9.95,
local-authority-eng:LDS,53.804694,-1.563375,1.82,
local-authority-eng:LDS,53.794198,-1.568872,5,
local-authority-eng:LDS,53.80599,-1.432529,21.49,
local-authority-eng:LDS,53.859837,-1.684724,5.96,
local-authority-eng:LDS,53.820959,-1.653208,1.93,
local-authority-eng:LDS,53.834426,-1.705322,2.74,
local-authority-eng:LDS,53.797844,-1.585808,1.19,
local-authority-eng:LDS,53.831876,-1.664757,18.81,
local-authority-eng:LDS,53.797034,-1.527185,3.67,
local-authority-eng:LDS,53.79678,-1.533534,0.09,
local-authority-eng:LDS,53.802945,-1.53547,0.9,
local-authority-eng:LDS,53.791751,-1.539282,11,
local-authority-eng:LDS,53.792009,-1.552698,0.18,
local-authority-eng:LDS,53.796386,-1.560091,1.85,
local-authority-eng:LDS,53.799811,-1.562545,0.2,
local-authority-eng:LDS,53.794248,-1.562663,0.99,
