resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR001,"Site of Box Trees Mill, Boy Lane, Wheatley, Halifax",,yes,not owned by a public authority,permissioned,full planning permission,,53.739357,-1.899168,0.99,87,87,2017-11-30,,. Construction of 87 residential dwellings,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR002,"Land west of 78-82 Backhold Lane, Siddal, Halifax",,yes,mixed ownership,permissioned,full planning permission,,53.699942,-1.852205,0.04,8,8,2017-11-30,,. Demolish existing building and re build on similar footprint to form 8 apartments,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR003,"Empire Works, Blackmires/Shay Lane, Holmfield, Halifax",,yes,not owned by a public authority,not permissioned,,,53.748652,-1.876984,1.02,47,47,2017-11-30,,,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR004,"The Ranch, New Road, Holywell Green, Elland",,yes,not owned by a public authority,permissioned,full planning permission,,53.663018,-1.866249,0.36,2,2,2017-11-30,,. Conversion of industrial buildings to 2 dwellings. Construction of stable block and menage.,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR005,"Land at junction of Knightbridge Court and Parsonage Lane, Brighouse",,yes,not owned by a public authority,permissioned,full planning permission,,53.703369,-1.784694,0.17,30,30,2017-11-30,,". 30 retirement living apartments and provision of communal facilities, landscaping and car parking",d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR006,"467-475 Elland Road, Elland",,yes,not owned by a public authority,permissioned,full planning permission,,53.698438,-1.818558,0.23,10,10,2017-11-30,,Amendment to 10/01534/FUL for development of 10 houses. Amendments to plots 1 to 5 on approved scheme 10/01534/FUL to utilise void beneath buildings,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR007,"Land opposite Tetrodena Kennels, Break Neck Lane, Hipperholme, Brighouse",,yes,not owned by a public authority,permissioned,full planning permission,,53.727922,-1.828566,0.35,4,4,2017-11-30,,. residential development of 4 dwellings,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR008,"Land At Whitehouse Farm, Holmfield, Halifax",,yes,not owned by a public authority,permissioned,reserved matters approval,,53.758238,-1.877449,0.52,23,23,2017-11-30,,. Construction of 23 dwellings (REM pursant to 14/00058/OUT),d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR009,"Jubilee Works, Jubilee Street North, Ovenden, Halifax",,yes,not owned by a public authority,permissioned,full planning permission,,53.743431,-1.878568,0.18,6,6,2017-11-30,,. Formation of 6 new dwellings,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
2018-05-22,2017-11-30,local-authority-eng:CLD,BLR010,"Site of former Hope Mills, Alma Road, Walsden, Todmorden",,yes,not owned by a public authority,permissioned,full planning permission,,53.697304,-2.103197,0.31,16,16,2017-11-30,,. 11 holiday cottages and 5 workshops,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599,Calderdale Metropolitan Borough Council
