resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-11-30,development-corporation:Q6670544,LLDC1,"PDZ8.1 (Bridgewater Road), and PDZ8.4 (Warton Road).",https://data.london.gov.uk/dataset/brownfield-land-register,yes,owned by a public authority,permissioned,outline planning permission,,51.534424,-0.008506,2.9,,,2017-11-30,,". Part of mixed use development within the Queen Elizabeth Olympic Park, comprising up to 763,500m2 of floorspace in various use classes. Outline permission has been granted for approximately 300 reside",de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0,London Legacy Development Corporation,E51000001
2018-05-22,2017-11-30,development-corporation:Q6670544,LLDC2,"PDZ12, and adjacent to, Rick Roberts Way",https://data.london.gov.uk/dataset/brownfield-land-register,yes,mixed ownership,permissioned,outline planning permission,,51.533663,-0.003976,3.34,,,2017-11-30,,". Part of outline permission for mixed use development within the Queen Elizabeth Olympic Park, comprising up to 763,500m2 of floorspace in various use classes.  Outline permission has been granted for",de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0,London Legacy Development Corporation,E51000001
2018-05-22,2017-11-30,development-corporation:Q6670544,LLDC3,"Land at Clockhouse and Access House, Imperial Street, Bromley-by-Bow",https://data.london.gov.uk/dataset/brownfield-land-register,yes,not owned by a public authority,pending decision,,,51.5253,-0.010554,0.99,,,2017-11-30,,. Full planning application for the demolition of the existing buildings on site and the construction of a residential-led mixed use scheme comprising a series of buildings ranging from one to 27 storey,de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0,London Legacy Development Corporation,E51000001
