resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-11-15,local-authority-eng:STA,"128 North Walls, Stafford","128 North Walls, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,full planning permission,,52.80695,-2.112711,0.02,,,2017-11-15,,. 16/24628/FUL - Existing terraces (128-130 North Walls) converted into flats and bedsits (5 units) with new external access stair.,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"36 Rowley Street, Stafford","36 Rowley Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,full planning permission,,52.815707,-2.119677,0.03,,,2017-11-15,,. 15/21724/COU - Change of use of existing building from student accommodation into eight individual bedsits,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"69-70 Foregate Street, Stafford","69-70 Foregate Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,full planning permission,,52.810838,-2.119794,0.13,,,2017-11-15,,. 15/21611/POTH - Prior approval - change of use from offices to residential (18 apartments),61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"Areva Fairway, Stafford","Areva Fairway, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,reserved matters approval,,52.801674,-2.090787,7.52,,,2017-11-15,,". 15/22735/REM - Approval of reserved matters for residential development consisting of 194 dwellings, public open space, access, parking and landscaping",61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"CC4 Greengate Street, Stafford","CC4 Greengate Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,full planning permission,,52.806732,-2.116871,0.03,,,2017-11-15,,". 14/21305/FUL - Conversion of 1st, 2nd, 3rd floors above retail unit to provide nine residential apartments",61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"Former Castleworks , Castle Street, Stafford","Former Castleworks, Castle Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,reserved matters approval,,52.805975,-2.128406,3.77,,,2017-11-15,,. 15/22596/REM - Residential development - 80 dwellings,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"Land SCC Development Service Parcel 4, Riverway, Stafford","Land SCC Development Service Parcel 4, Riverway, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,owned by a public authority,permissioned,full planning permission,,52.80527,-2.107118,0.18,,,2017-11-15,,. 15/23103/FUL - Erection of three storey block of 15 supported living units with associated open space and car parking,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"Land adjacent to Yew Tree House, Egg Lane, Hixon","Land adjacent to Yew Tree House, Egg Lane, Hixon",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,52.829451,-1.995586,0.16,,,2017-11-15,,. 14/20711/OUT (Brownfield section of the site only)  - Outline application for the erection of 10 dwellings with access,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"Land at Elms Business Centre Phase 2, Main Road, Great Haywood","Land at Elms Business Centre Phase 2, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,full planning permission,,52.802114,-2.006571,0.2,,,2017-11-15,,. 15/23140/FUL - Demolish existing commercial units and change of use of existing 2 storey to create 2 two-bedroom units and build an additional attached block of 4 one-bedroom units and 4 two-bedroom units (total number 10 units),61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
2018-05-22,2017-11-15,local-authority-eng:STA,"Land at Elms Business Centre, Main Road, Great Haywood","Land at Elms Business Centre, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,yes,not owned by a public authority,permissioned,full planning permission,,52.802585,-2.006691,0.33,,,2017-11-15,,. 15/21841/FUL - Residential development (six units) at rear of elms business centre/elms lodge/elms farmhouse including demolition of asbestos clad commercial unit,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a,Stafford Borough Council,E07000197
