resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR1,Short Street Community Infants School,http://www.eaststaffsbc.gov.uk/planning/planning-policy,yes,owned by a public authority,not permissioned,,,,,0.5,15,15,2017-09-29,,Suitable Brownfield Site taken from the SHLAA (SHLAA 26),ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR10,Former Alumasc Grundy Ltd Hawkins Lane,http://www.eaststaffsbc.gov.uk/planning/planning-policy,yes,not owned by a public authority,pending decision,full planning permission,,,,4.25,204,204,2017-09-29,,"Site historically a SHLAA site, removed as was being retained for employment use (i.e.: Tesco Store). Residential application with LPA awaiting determination (P/2016/01847). Erection of 204 dwellings, comprising 100 no. affordable dwellings",ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR11,Land to the rear of 2 Harbury Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,yes,not owned by a public authority,pending decision,outline planning permission,,,,0.37,14,14,2017-09-29,,Site historically a SHLAA site - Resolution to Approve – 17/01/2017  subject to S106 legal agreement. Outline application for the erection of up to 14 dwellings,ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR12,Imex Business Park,http://www.eaststaffsbc.gov.uk/planning/planning-policy,yes,not owned by a public authority,not permissioned,,,,,2.21,66,66,2017-09-29,,Site historically a SHLAA site - Site not fully occupied,ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR13,Mead Works 137-139 Horninglow Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,yes,not owned by a public authority,not permissioned,,,,,0.26,8,8,2017-09-29,,"Site historically a SHLAA site - Site vacant, Extention to time limit application for dwellings never implemented (Full Application approved 19/01/2010 - PA/00560/068/CLF). Erection of 12 dwellings",ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR14,Goat Maltings,http://www.eaststaffsbc.gov.uk/planning/planning-policy,,not owned by a public authority,not permissioned,,,,,0.19,60,60,2017-09-29,,"Site historically a SHLAA site - Site vacant (PA/07932/027 - 2006 Application for the conversion of the Goat Maltings to 60 apartments , never implemented). Conversion of the Goat Maltings building to form 60 apartments",ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR15,Burton Beer Mats,http://www.eaststaffsbc.gov.uk/planning/planning-policy,,not owned by a public authority,not permissioned,,,,,0.28,8,8,2017-09-29,,Site historically a SHLAA site - Site vacant,ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR16,Derby Street Auction Rooms,http://www.eaststaffsbc.gov.uk/planning/planning-policy,,not owned by a public authority,not permissioned,,,,,0.22,6,6,2017-09-29,,"Site historically a SHLAA site - Site vacant (P/2011/00272/MB - 2011 Application for the erection of a 61 bedroomed residential nursing home (Class C2) , never implemented)",ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR17,60-62 Queen Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,,not owned by a public authority,not permissioned,,,,,0.1,3,3,2017-09-29,,"Site historically a SHLAA site - Site currently occupied (OU/06274/014 - 2007 Application for Outline application for residential development including means of access, never implemented)",ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
2018-05-22,2017-09-29,local-authority-eng:EST,ESBC-BR18,Uttoxeter Highways Depot,http://www.eaststaffsbc.gov.uk/planning/planning-policy,,owned by a public authority,not permissioned,,,,,0.87,30,30,2017-09-29,,"Site historically a SHLAA site - Site could become vacant as new recycling centre now open (P/2010/01298/JPM - 2010 Application for the erection of upto 30 dwellings, never implemented). Outline application for the erection of up-to 30 dwellings",ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453,East Staffordshire Borough Council
