resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-18,local-authority-eng:MDW,1052,"101 Beacon Road, Chatham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,not permissioned,,,51.373654,0.546733,0.41,14,14,2016-06-30,,,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,1056,"6-11 New Road Avenue, Chatham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,not permissioned,,,51.382618,0.518126,0.28,9,39,2016-06-30,,,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,1100,"Greatfield Lodge, Darnley Road, Strood",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,,not permissioned,,,51.391119,0.469474,0.34,21,24,2016-06-30,,Expired planning permission for extension to facilitate conversion to 14 one bed and 10 two bed flats.. http://publicaccess.medway.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_MEDWA_DCAPR_129666,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,1106,"Miles Place, Delce Road, Rochester",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,,not permissioned,,,51.378555,0.507556,0.31,10,43,2016-06-30,,,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,1136,"Lennox Wood, Petham Green, Twydall",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,permissioned,full planning permission,,51.372959,0.589889,0.43,20,20,2016-06-30,,. 20 two and 3 bedroomed houses,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,707,"LIFT site, 551-555 Canterbury Street, Gillingham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,mixed ownership,pending decision,,,51.374085,0.552117,0.28,9,13,2016-06-30,,. Upto 13 dwellings,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,740,"Communal areas, John Street, Rochester",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,permissioned,full planning permission,,51.383107,0.50414,0.9,8,8,2016-06-30,,. 6 one bedroom and 2 two bedroom flats,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,757,"Between Cross Street & The Brook, Chatham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,,not permissioned,,,51.381779,0.529535,0.79,26,118,2016-06-30,,"Expired outline planning permission for 14 houses, 104 flats and 3,375sqm retail floorspace.. http://publicaccess.medway.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_MEDWA_DCAPR_117157",1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2018-05-22,2017-12-18,local-authority-eng:MDW,810,"Junction of Pier Road and Medway Road, Gillingham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,not permissioned,,,51.395391,0.550456,0.59,20,82,2016-06-30,,,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1048,"Land at 54 Beacon Road, Chatham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,permissioned,full planning permission,,51.373142,0.546113,0.133,6,6,2019-01-24,,. Construct 6 x 1 bed flats,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1133,"247-253 High Street, Chatham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,not owned by a public authority,not permissioned,,,51.381711,0.527737,0.076,8,8,2019-01-24,,Expired permission for 3 stroey building with commercial (A1) at ground floor and 8 x 1 bed flats above. Further application MC/18/1383 for 4 storey building with 8 flats withdrawn by applicant. https://publicaccess1.medway.gov.uk/online-applications/searchResultsBack.do?action=back,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1135,"Seagull Road, Strood",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,permissioned,full planning permission,,51.392883,0.464981,0.204,10,10,2019-01-24,,. Demolish existing garages and construct 10 flats (8 x 1 bed and 2 x 2 bed),310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1160,"Land East of Formby Road, Halling",http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,permissioned,full planning permission,,51.35893,0.444971,0.39,5,5,2019-01-24,,. Construct 5 x 3 bed houses,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1180,Medway Maritime Hospital,http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,not owned by a public authority,not permissioned,,,51.378437,0.540834,4.059,130,130,2019-01-24,,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1181,Former Gillingham Fire Station,http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,owned by a public authority,not permissioned,,,51.372642,0.555075,0.312,64,64,2019-01-24,,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1182,Rainham Library,http://maps.medway.gov.uk/webmaplayersext/map.aspx,,owned by a public authority,not permissioned,,,51.365494,0.602589,0.127,25,25,2019-01-24,,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1183,"Britton Farm, Gillingham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,owned by a public authority,pending decision,,,51.388582,0.544289,0.445,24,48,2019-01-24,,". Construct a five storey block comprising 18 x 1 bed and 30 x 2 bed flats with associated parking, landscaping and bin store",310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1188,Pier Approach Road Depot,http://maps.medway.gov.uk/webmaplayersext/map.aspx,,not owned by a public authority,not permissioned,,,51.396133,0.553521,0.929,140,140,2019-01-24,,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1194,"Redvers Centre, Glencoe Road, Chatham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,not owned by a public authority,pending decision,full planning permission,,51.373676,0.527839,0.294,24,24,2019-01-24,,. Residential development comprising 6 x 3 bed and 6 x 1 bed houses and 12 x 2 bed apartments,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1195,"Former United Services, 27 Arden Street, Gillingham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,not owned by a public authority,permissioned,reserved matters approval,,51.389573,0.544422,0.064,9,9,2019-01-24,,. Demolition of public house and construction of three storey block of 9 x 2 bed flats,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1198,"Newton Close Resource Centre, Sultan Road, Lordswood",http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,not owned by a public authority,permissioned,full planning permission,,51.335134,0.545762,0.175,7,8,2019-01-24,,. Construct three storey mixed use building including 8 x 1 bed flats and a session centre with associated works,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
2019-10-20,2019-01-24,local-authority-eng:MDW,1201,"205-217 New Road, Chatham",http://maps.medway.gov.uk/webmaplayersext/map.aspx,yes,not owned by a public authority,permissioned,other,,51.379141,0.531557,0.076,15,15,2019-01-24,,. Prior notification of a proposed change of use from upper ground and first floor offices to residential incorporating 6 x 2 bed and 7 x 1 bed flats.  Second prior notification application MC161471 for conversion of lower ground floor to 2 x 1 bed flats,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08,Medway Council
