resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-15,local-authority-eng:ELM,1,9 Ashley Road Walton-on-Thames Surrey KT12 1HY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2095578/2095578.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.383359,-0.417178,0.02,5,5,2017-12-15,,. Part two/part first floor side and two storey and single storey rear extensions and conversion of part of first floor to provide five flats,520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,11,13-19 High Street Thames Ditton Surrey KT7 0SD,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2589844/2589844.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.39264,-0.331679,0.06,,,2017-12-15,,. PD Prior Notification: Change of use from Office (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,12,83 High Street Walton-On-Thames Surrey KT12 1DU,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2562091/2562091.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.384017,-0.416637,0.1,,,2017-12-15,,. PD Prior Notification: Change of use from Office (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,13,Kingsbridge House Kingsbridge Road Walton-On-Thames KT12 2BH,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2680081/2680081.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.389657,-0.412778,0.04,,,2017-12-15,,. PD Prior Notification: Change of use from Offices (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,14,Clive House 12-18 Queens Road Weybridge Surrey KT13 9XE,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2615248/2615248.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.368668,-0.447623,0.28,,,2017-12-15,,. PD Prior Notification: Change of use from Office (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,15,70 Baker Street Weybridge Surrey KT13 8AL,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2636931/2636931.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.371935,-0.455314,0.05,,,2017-12-15,,. PD Prior Notification: Change of use from Office (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,16,Rydens Enterprise School and Sixth Form College Hersham Road Hersham Walton-On-Thames Surrey KT12 5PY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2205524/2205524.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.373011,-0.403426,16.73,,,2017-12-15,,". Reserved Matters application (housing development) for Appearance, Landscaping, Layout and Scale pursuant to application 2013/5035 (296 residential units for means of access)",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,17,Trinity Place 29 Thames Street Weybridge Surrey KT13 8JG,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2737126/2737126.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.375351,-0.454524,0.1,,,2017-12-15,,. PD Prior Notification: Change of use from Offices (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,19,Land to rear of 17-19 Church Street Weybridge Surrey KT13 8DE,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2512873/2512873.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.372012,-0.459823,0.03,,,2017-12-15,,. Detached part four/part three/part single storey building comprising 7 flats with associated bin and cycle stores,520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,2,Taggs Boatyard 44 Summer Road Thames Ditton Surrey KT7 0QQ,http://edocs.elmbridge.gov.uk/IAM/IAMCache/1941899/1941899.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.393801,-0.332973,0.16,,,2017-12-15,,". Redevelopment of the site to provide a detached three storey building located to the rear comprising of boatyard and offices at ground floor and 8 flats above and detached two storey building to the front comprising of access with 1 flat above, along with associated parking following demolition of all existing buildings on site",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,20,1-24 Abbey Walk West Molesey Surrey KT8 2JH,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2649180/2649180.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.403578,-0.367669,0.5,,,2017-12-15,,". Development comprising 28 residential units and associated works including the provision of car and cycle parking, landscaping and refuse and recycling stores following demolition of the existing 13 houses",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,21,The Glashaus 74 Portsmouth Road Cobham Surrey KT11 1HY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2724473/2724473.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.332176,-0.415352,0.6,,,2017-12-15,,. PD Prior Notification: Change of use from Office (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,22,15 To 19 St Marys Road Weybridge Surrey KT13 9PT,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2791661/2791661.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,51.372709,-0.439771,0.04,,,2017-12-15,,". Outline application for two-storey detached building to provide 6 flats following demolition of existing buildings (for access, appearance, layout and scale)",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,23,18 Springfield Lane Weybridge Surrey KT13 8AW,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2596022/2596022.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,51.372934,-0.455395,0.14,,,2017-12-15,,". A terrace of 4 two-storey houses with rooms in the roof space and dormer windows, a terrace of 3 two-storey houses and a detached two-storey building comprising 2 flats following partial demolition of existing building (Outline application for access, appearance, layout and scale)",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,25,The Wellington 60 High Street Walton-On-Thames Surrey KT12 1BY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2838600/2838600.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.384461,-0.418174,0.05,,,2017-12-15,,. Change of use on 1st and 2nd floors to provide 7 flats with additional fenestration and new extractor flue,520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,26,Land to Rear of 28-34 Sugden Road Long Ditton Surrey KT7 0AE,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2726497/2726497.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.382644,-0.323707,0.29,,,2017-12-15,,". 2 detached two-storey houses with integral garage and 2 pairs of semi-detached two-storey house, associated access, parking and amenity space",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,27,11 Cross Road Weybridge Surrey KT13 9NX,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2764516/2764516.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.37393,-0.439615,0.02,,,2017-12-15,,. Change of use from Drinking Establishment (A4) (284sqm) to Residential (C3) to provide 4 flats and 1 terraced house and alterations to fenestration following demolition of existing single storey rear projection,520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,28,Site of Arawa Cavendish Road Weybridge Surrey KT13 0JW,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2590838/2590838.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.36194,-0.445452,0.15,,,2017-12-15,,". Detached two-storey block with rooms in the roof space, dormer windows, basement car parking, new access and associated landscaping to provide 5 flats",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,29,42-50 Hersham Road Walton-On-Thames Surrey KT12 1RZ,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2821040/2821040.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.375199,-0.408924,0.4,,,2017-12-15,,. PD Prior Notification: Change of use from Offices (B1a) to Residential (C3),520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,3,Imber Court Trading Estate Orchard Lane East Molesey Surrey KT8 0BY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2340311/2340311.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,51.392732,-0.352172,3.03,,,2017-12-15,,". Outline planning application (means of access only to be determined at this time) for development comprising up to 95 residential units including 38 affordable units following demolition of existing industrial buildings (16,618 sqm)",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,30,Rosemary House Portsmouth Road Esher Surrey KT10 9AA,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2561466/2561466.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.376221,-0.355926,0.11,,,2017-12-15,,". Development up to four storeys in height comprising 11 flats, undercroft car parking and ancillary external works following demolition of existing office building (332sqm)",520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
2018-05-22,2017-12-15,local-authority-eng:ELM,31,162 Portsmouth Road Thames Ditton Surrey KT7 0XR,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2518078/2518078.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.389335,-0.325001,0.06,,,2017-12-15,,. 2 three-storey blocks with basement providing a total of 17 flats following the demolition of existing building,520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada,Elmbridge Borough Council
