resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2016-12-31,local-authority-eng:COR,BFR C24,"Railway Station Interchange, Station Road, Corby, NN17 1NA",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1598,,owned by a public authority,not permissioned,,,52.488138,-0.687128,0.806,29,40,2016-06-30,,"Site previously assessed through SHLAA as site 2030.

The site has been subject to a bid to the HCA for Starter Homes funding and it was assumed that 40 dwellings could be delivered on the site. However, as part of an urban design review, consideration was also made of a mix of uses being deployed on site which reduces the developable area for housing (assuming 50dph) an alternative yield of 29 dwellings has been assumed.",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
2018-05-22,2017-12-31,local-authority-eng:COR,BFR C1,"Car Park, Pytchley Court, Corby, NN17 2PL",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1594,,owned by a public authority,not permissioned,,,52.498274,-0.72135,0.379,9,9,2016-06-30,,,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
2018-05-22,2017-12-31,local-authority-eng:COR,BFR C16,"Garage Court, Lindisfarne Road, Corby, NN17 2HW",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1595,,owned by a public authority,not permissioned,,,52.502119,-0.711394,0.283,11,11,2016-06-30,,. Majority of site is in public sector ownership but the remaining garages are private. Site considered in mutiple ownership as a result.,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
2018-05-22,2017-12-31,local-authority-eng:COR,BFR C20,"Maple House, Canada Square, Corby, NN18 9HU",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1596,,owned by a public authority,not permissioned,,,52.475996,-0.719992,0.42,11,11,2016-06-30,,. A Tree Preservation Order exists on site (TPO/2014/5),9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
2018-05-22,2017-12-31,local-authority-eng:COR,BFR C23,"Former Our Lady Pope John School, Tower Hill Road, Corby, NN18 0TF",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1597,,not owned by a public authority,permissioned,outline planning permission,,52.480441,-0.732406,2.111,95,95,2016-06-30,,". 11/00215/OUT - Outline application for demolition of the existing school buildings and redevelopment of site to provide 95 residential dwellings, together with parking, access roads, communal square, children's playground, utility services and other associated works.. 11/00215/OUT - No start on site at November 2017.",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
2018-05-22,2017-12-31,local-authority-eng:COR,BFR C25,"Beanfield School, off Glastonbury Road, Corby, NN18 0DJ",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1599,,owned by a public authority,permissioned,outline planning permission,,52.487929,-0.730313,3.995,96,96,2016-06-30,,". 13/00242/OUT - Outline application for up to 96 dwellings with associated access, open space, play area and landscaping. Site is under construction at November 2017 pursuant to extant permission (no completions to date).",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
2018-05-22,2017-12-31,local-authority-eng:COR,BFR C26,"Parkland Gateway, George Street, Corby, NN17 1QG",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1600,,owned by a public authority,not permissioned,,,52.489348,-0.705394,0.701,40,63,2016-06-30,,"Site previously assessed through SHLAA as site 2037.

The site was previously been subject to a bid to the HCA for Starter Homes funding and it was assumed that 40 dwellings could be delivered on the site. However, as part of an urban design review, consideration was also made of higher densities (flats) being deployed on site and assuming 100dph an alternative yield of 63 dwellings has been assumed.",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
2018-05-22,2017-12-31,local-authority-eng:COR,BFR C27,"Kingswood School, Gainsborough Road, Corby, NN18 9NQ",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1601,,owned by a public authority,permissioned,outline planning permission,,52.477815,-0.733598,1.665,90,90,2016-06-30,,". 13/00241/OUT - Demolition of existing buildings and development of up to 90 dwellings with associated access, open space, play area and landscaping. Site is under construction at November 2017 pursuant to extant permission (12 dwellings completed to date, 10 starts).",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Corby Borough Council
