resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W10,"Former Swimming Baths, Croyland Road, Wellingborough, NN8 2JY",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1614,,owned by a public authority,not permissioned,,,52.296751,-0.69938,0.737,30,30,2016-06-30,,"Previously assessed through SHLAA as site 873. See County Council map for additional details on features which may affect site:

http://maps.northamptonshire.gov.uk/",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W12,"Rear Of 3 Princess Way, Wellingborough, NN8 2HD",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1615,,not owned by a public authority,not permissioned,,,52.291563,-0.707156,0.375,6,6,2016-06-30,,"Previously assessed through SHLAA as site 881. See County Council map for additional details on features which may affect site:

http://maps.northamptonshire.gov.uk/",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W15,"George Cox Shoes, Westfield Road, Wellingborough, NN8 3JR",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1616,,not owned by a public authority,permissioned,full planning permission,,52.302295,-0.704912,0.549,31,76,2016-06-30,,"Previously assessed through SHLAA as site 893.. WP/16/00375/FUL - Demolition of existing buildings and erection of 45 Retirement Living Apartments for the elderly (category ll type accommodation), including communal facilities, landscaping and car parking. Approved 02/05/2017. Site currently under construction.

WP/16/00492/FUL - Demolition of existing buildings and erection of 31 apartments with landscaped grounds and car/cycle parking. Designed to work in conjunction with the adjacent retirement living scheme to the north. Approved 06/06/2017. Site currently under construction.. The site is currently under construction pursuant to the x2 permissions which exist.",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W19,"Reddens Scrap Yard, Leys Road / Highfield Road, Wellingborough, NN8 1PL",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1617,,not owned by a public authority,not permissioned,,,52.307733,-0.685203,1.139,50,50,2016-06-30,,Previously assessed through SHLAA as site 898.,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W28,"Car Park And Others, High Street/Jackson Lane, Wellingborough, NN8 4JJ",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1618,,owned by a public authority,not permissioned,,,52.302278,-0.697921,3.122,220,220,2016-06-30,,Allocated as Site C in the 2009 Wellingborough Town Centre Area Action Plan. Development here would support Town centre regeneration.,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W30,"Former Post Office Sorting Office, Midland Road, Wellingborough, NN8 1DW",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1619,,not owned by a public authority,not permissioned,,,52.302113,-0.691026,0.453,73,73,2016-06-30,,Allocated as Site I in the 2009 Wellingborough Town Centre Area Action Plan,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W32,"East Of Eastfield Road, Wellingborough, NN8 1RJ",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1620,,not owned by a public authority,permissioned,reserved matters approval,,52.311094,-0.678612,10.876,75,75,2016-06-30,,"There have been x97 dwellings completed at Ladywell Park since 2014 pursuant to application WP/14/00243/REM.. WP/14/00243/REM - Proposed residential development of 156 no. dwellings. NEW AND AMENDED PLANS AND FURTHER INFORMATION.

WP/16/00798/REM - Application for the access, appearance, landscape, layout and scale for the proposed development of 5 new dwellings together with associated accesses, parking and landscaping and the re-positioning of 2 dwellings and the pumping station, which have the benefit of an existing approval.. The site is included in the emerging plan for the Borough of Wellingborough under site specific policy site  6.",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W36,"Land Between Number 33 And 67, Milner Road, Finedon, NN9 5LW",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1621,,not owned by a public authority,permissioned,full planning permission,,52.335183,-0.651352,1.388,50,50,2016-06-30,,Site formerly identified as Saved Local Plan Allocation FN2 (Milner Road) from the 2007 Local Plan for Wellingborough (30 dwellings).. WP/17/00118/FUL - New residential development to provide 50 dwellings on vacant site. Vacant site,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
2018-05-22,2017-12-31,local-authority-eng:WEL,BFR W42,"Site G TCAAP-Alma St/Cambridge Street Backlands, Cambridge Street, Wellingborough, NN8 4DJ",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1622,,not owned by a public authority,permissioned,full planning permission,,52.30343,-0.69096,0.83,60,60,2016-06-30,,"Allocated as Site G in the 2009 Wellingborough Town Centre Area Action Plan. WP/15/0092/FUL - Erection of a terrace of five 2-storey houses with room in the roof and associated works. 

WP/15/00094/FUL - Conversion of upper floor to 5 self-contained residential units and the change of use of ground floor from D2 use class to D1 use class (non-residential Community Centre). Associated external alterations to the building. 

WP/16/00682/FUL  - Conversion of ground and lower floors of former Working Mens Club to form four two-bed and one one-bed flats. ADDITIONAL BIN STORAGE (this permission partially supersedes 
WP/15/00094/FUL). The five dwelling units pursuant to WP/15/00092/FUL were completed in June 2016 and are located at the rear of the working mens club. 

The 5 self-contained residential units pursuant to WP/15/00094/FUL were completed in September 2016.

Works relating to WO/16/00682/FUL commenced in August 2017.",9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4,Wellingborough Borough Council,E07000156
