resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-20,local-authority-eng:EAS,120569,"The Lodge Inn, 559 Seaside",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.11,5,5,2017-12-20,,". ""Redevelopment of site including demolition of public house, redundant bus shelter and toilets and the erection of 6 no. 3 bedroom houses with integral garages""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,130133,28 Grange Road,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.11,9,9,2017-12-20,,". ""Demolition of existing building and erection of 9 two-bedroom flats with 5 parking spaces with alteration to vehicular access (renewal of planning application EB/2009/0705(FP)).""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,130987,Senlac House 53-59 Seaside,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.04,8,8,2017-12-20,,". ""Convert offices on ground floor, facing Seaside and Marine Road, into6 x 1 bedroom apartments and 2 x 2 bedroom apartments""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,140071,Land At Rear And To Side Of 2 Ringwood Road,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.25,7,7,2017-12-20,,". ""Proposed residential development of 7 three bedroom houses together with garage/car parking spaces and access road, at rear and to the side of 2 Ringwood Road, Eastbourne (formerly known as the Swan Laundry).""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,140833,"Twin English Centre, 25 St Annes Road",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.08,11,11,2017-12-20,,". ""The converstion of the existing building with rear extension to provide 11 no.residential flats together with landscaping, waste and cycle storage. The proposals include the removal of the existing rear external escape gantry, and a single storey ground side addition.""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,141346,183a Langney Road,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.03,9,9,2017-12-20,,". ""Demolition of 3 vacant retail units and construction of 9no. one and two bed apartments""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,141521,"Heatherleigh Hotel, Royal Parade",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.07,16,16,2017-12-20,,". ""Proposed change of use from redundant hotel into 12no. holiday flats and 16no. residential flats including demolition of 4no. garages at rear, alterations to remaining three garages to form secure cycle storage and refuse storage, together with the formation of parking spaces. Removal of front sun lounge.""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,141527,Greencoat House 32 St Leonards Road,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,permissioned,other,,,,0.07,12,12,2017-12-20,,". ""Change of use from office (class B1) to residential (class C3), comprising 12no. self-contained apartments.""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,150598,Map House 34-36 St Leonards Road,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,permissioned,other,,,,0.07,6,6,2017-12-20,,". ""Change of use from B1 (office) to C3 (dwelling)""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,150992,Garages between 5 and 10 North Street,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,not owned by a public authority,permissioned,outline planning permission,,,,0.04,5,5,2017-12-20,,". ""Outline planning permission (Layout and Scale) for construction of three storey building containing 4x1 bedroom apartments over ground and first floor and 1x2 bedroom apartment to second floor""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,151134,Courtlands Hotel 3-5 Wilmington Gardens,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.07,15,15,2017-12-20,,". ""Change of use to convert a 45 bedroom hotel to a 14 bedroom guest house hotel with owner's accommodation and 15 residential apartments.""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,151349,"Ashberry Court, 39 Lewes Road",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.06,9,9,2017-12-20,,". ""Conversion of residential care home into nine self-contained flats, together with external alterations and the provision of a refuse store, cycle store and five parking spaces accessed from Lewes Road""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,160056,Regent Hotel 3 Cavendish Place,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.01,5,5,2017-12-20,,". ""Conversion of property into 5 flats 3no 2 bed flats and 2no 1 bed flats""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,160337,St Annes House 2 St Annes Road,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,permissioned,other,,,,0.18,35,35,2017-12-20,,". ""Change of use from office B1 to one and two bedroom flats C3.""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
2018-05-22,2017-12-20,local-authority-eng:EAS,160411,"Fitzmaurice Mews, Fitzmaurice Avenue",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,yes,not owned by a public authority,permissioned,full planning permission,,,,0.17,6,6,2017-12-20,,". ""Proposed demolition of existing garages and development of 6 no.3 bedroomed houses together with parking spaces.""",5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81,Eastbourne Borough Council
