resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR1,"Lancing Manor Filling Station, Old Shoreham Road, Lancing","https://www.adur-worthing.gov.uk/media/media,146438,en.pdf",yes,not owned by a public authority,permissioned,outline planning permission,,50.838812,-0.310872,0.21,6,6,2017-10-16,,. Outline application for the errection of 6 three bed dwellings.. Planning Ref: AWDM/1128/14,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR10,"Laundry, Alma Street, Lancing","https://www.adur-worthing.gov.uk/media/media,146447,en.pdf",yes,not owned by a public authority,not permissioned,,,50.822044,-0.323616,0.09,13,13,2017-10-16,,A planning application has been received but not yet registered as additional information is required.. SHLAA Ref: ADC/082/13,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR11,"Community Buildings, Pond Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146448,en.pdf",yes,not owned by a public authority,not permissioned,,,50.833937,-0.274522,0.57,27,27,2017-10-16,,The site is in multiple public ownership.  Significant progress has been made to deliver a mixed use scheme to include approximately 27 dwellings.. SHLAA Ref: ADC/086/16,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR12,"Land at Eastbrook Primary School, Manor Hall Road, Southwick","https://www.adur-worthing.gov.uk/media/media,146449,en.pdf",yes,not owned by a public authority,not permissioned,,,50.83578,-0.228908,0.7,24,24,2017-10-16,,The site is in public ownership and has been declared surplus to requirements and is vacant.  A planning application for approximately 24 dwellings is anticipated in 2018.. SHLAA Ref: ADC/119/13,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR13,"5 Brighton Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146450,en.pdf",yes,not owned by a public authority,not permissioned,,,50.830851,-0.250282,0.47,47,90,2017-10-16,,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change in the Adur Local Plan 2017.  The regeneration of Shoreham Harbour has been a long term aspiration and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  Progress is being made to bring this site forward.. SHLAA Ref: SH/001/13,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR14,"Free Wharf, Brighton Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146451,en.pdf",yes,not owned by a public authority,pending decision,,,50.832169,-0.265712,2.8,540,540,2017-10-16,,"This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change in the Adur Local Plan 2017.  The regeneration of Shoreham Harbour has been a long term aspiration and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  A planning application has been submitted, but not yet determined,. Redevelopment of the site to provide ten buildings, containing 540 new homes (of which two will be studios, 179 x one bed, 323 x two bed and 38 x three bed). Planning Ref: AWDM/1497/17",5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR15,"Kingston Wharf, Brighton Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146452,en.pdf",yes,not owned by a public authority,not permissioned,,,50.831467,-0.253014,1.5,153,292,2017-10-16,,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change in the Adur Local Plan 2017.  The regeneration of Shoreham Harbour has been a long term aspiration and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership. Progress is being made to bring this site forward.. SHLAA Ref:SH/008/16,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR16,"Luxor Cinema, Staion Parade, Lancing","https://www.adur-worthing.gov.uk/media/media,146453,en.pdf",yes,not owned by a public authority,pending decision,,,50.82659,-0.322672,0.05,12,12,2017-10-16,,". Conversion and enlargement (including second- floor roof extension and enlargement of rear tower) to provide 12 no. self-contained flats on rear ground, first, second and third floors including associated elevation alterations, balconies and roof terrace together with rear parking, bin and cycle storage, replacement shopfront and new entrance lobby to flats.. Planning Ref:AWDM/0969/17",5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR17,"The Old Town Hall, 142 Albion Street, Southwick","https://www.adur-worthing.gov.uk/media/media,146454,en.pdf",yes,not owned by a public authority,pending decision,,,50.831408,-0.234754,0.05,6,6,2017-10-16,,". Application for permitted development for prior approval for change of use from offices Use Class B1a set out over three floor to Use Class C3, 6 residential units. Planning Ref: NOTICE/0011/17",5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
2018-05-22,2017-10-16,local-authority-eng:ADU,ADCBR2,"Caxton House, Ham Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146439,en.pdf",yes,not owned by a public authority,permissioned,full planning permission,,50.833945,-0.270247,0.08,14,14,2017-10-16,,. Change of Use of Office B1 and general industrial B2 to 14 residential units comprising 1 no. studio; 2 no. one bedroom; 10 no. two bedroom and 1 no. three bedroom flats.. Planning Ref: AWDM/1267/16,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383,Adur District Council,E07000223
