resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-21,local-authority-eng:BAB,SS0502,"AngelCourt, AngelStreet, Hadleigh",http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:602647/y:242710/z:13/b:14/o:1599,yes,owned by a public authority,not permissioned,,,52.0457,0.9537,0.3,,,2017-12-21,,"See SHELAA (Aug 2017) Assessment Sheet. ""Brownfield,RedundantResidentialCareHome""",49a918dc51d8d4063061e5b0d257943aa194370ae1f07a1c1fc746f7ed7dd3b3,Babergh District Council
2018-05-22,2017-12-21,local-authority-eng:BAB,SS0507,"CouncilDepot, GreatWenham",http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:607141/y:238283/z:13/b:14/o:1599,yes,owned by a public authority,not permissioned,,,52.0044,1.0167,0.3,,,2017-12-21,,"See SHELAA (Aug 2017) Assessment Sheet. ""Brownfield,CouncilWarehouseandDepot""",49a918dc51d8d4063061e5b0d257943aa194370ae1f07a1c1fc746f7ed7dd3b3,Babergh District Council
2018-05-22,2017-12-21,local-authority-eng:BAB,SS0537,"BaberghDistrictCouncilOffices, CorksLane, Hadleigh",http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:602236/y:242925/z:12/b:14/o:1599,yes,owned by a public authority,not permissioned,,,52.0481,0.9483,0.69,,,2017-12-21,,"See SHELAA (Aug 2017) Assessment Sheet. ""Brownfield,CouncilOffices""",49a918dc51d8d4063061e5b0d257943aa194370ae1f07a1c1fc746f7ed7dd3b3,Babergh District Council
2018-05-22,2017-12-21,local-authority-eng:BAB,SS0754,"Garages, ClaypitsAvenue, Bures St Mary",,yes,owned by a public authority,not permissioned,,,51.9711,0.7786,0.15,,,2017-12-21,,"See SHELAA (Aug 2017) Assessment Sheet. ""Brownfield,ResidentialGarages""",49a918dc51d8d4063061e5b0d257943aa194370ae1f07a1c1fc746f7ed7dd3b3,Babergh District Council
2019-12-24,2019-10-15,local-authority-eng:BAB,15/23140/FUL,"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",https://www.staffordbc.gov.uk/brownfield-land-register,yes,not owned by a public authority,permissioned,full planning permission,,,,0.2,6,6,2017-11-15,,Demolish existing commercial units and change of use of existing 2 storey to create 2 two-bedroom units and build an additional attached block of 4 one-bedroom units and 4 two-bedroom units (total number 10 units),0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,Babergh District Council
