resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-11-17,local-authority-eng:WOK,BR007,Hall Farm Church Lane Arborfield RG2 9HX,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,0.38,2,2,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR011,Oakley Farm Pound Lane Hurst RG10 0RS,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,2.29,1,1,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR012,"Lambda Cottage Wick Hill, Lane Finchampstead, RG40 3SR",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,0.28,1,1,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR018,Bell House Park Place Kentons Lane RG10 9HT,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,0.25,4,4,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR020,"The Bungalow, Henley Road",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,1.44,1,1,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR024,"Elms Field & The Paddocks, Elms Rd, Wokingham",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,6.7,126,126,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR025,Arcadia Loddon Drive Wargrave RG10 8HH,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,0.53,1,1,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR028,"Garth House, 53 Denmark Street, Wokingham",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,other,,,,,6,6,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR033,Strowdes Upper Culham Lane Remenham Berkshire RG10 8NU,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,2.47,1,1,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
2018-05-22,2017-11-17,local-authority-eng:WOK,BR034,Thatchers Mead Thames Drive Charvil RG10 9TP,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,yes,not owned by a public authority,permissioned,full planning permission,,,,0.34,1,1,2017-08-18,,,540726a456ad6481487b2953dd8404dd1bd29f9e584158abe4efd237e522db85,Wokingham Borough Council
