organisation,statistical-geography,start-date,end-date,point-count
local-authority-eng:CMA,E10000006,,,0
local-authority-eng:CMD,E09000007,,,97
local-authority-eng:COL,E07000071,,,33
local-authority-eng:CON,E06000052,2009-04-01,,167
local-authority-eng:COP,E07000029,,,24
local-authority-eng:COR,E07000150,,,8
local-authority-eng:COT,E07000079,,,38
local-authority-eng:COV,E08000026,1974-04-01,,136
local-authority-eng:CPCA,E47000008,2014-04-01,,0
local-authority-eng:CRA,E07000163,,,43
local-authority-eng:CRW,E07000226,1974-04-01,,32
local-authority-eng:CRY,E09000008,,,464
local-authority-eng:DAC,E07000096,,,37
local-authority-eng:DAL,E06000005,1997-04-01,,13
local-authority-eng:DAR,E07000107,,,35
local-authority-eng:DAV,E07000151,,,7
local-authority-eng:DBY,E10000007,,,0
local-authority-eng:DEB,E07000035,,,30
local-authority-eng:DER,E06000015,,,46
local-authority-eng:DEV,E10000008,,,0
local-authority-eng:DNC,E08000017,1974-04-01,,102
local-authority-eng:DOV,E07000108,,,59
local-authority-eng:DST,E06000059,2019-04-01,,1
local-authority-eng:DUD,E08000027,1974-04-01,,28
local-authority-eng:DUR,E06000047,2009-04-01,,68
local-authority-eng:EAL,E09000009,,,70
local-authority-eng:EAS,E07000061,,,117
local-authority-eng:EAT,E07000086,,,25
local-authority-eng:ECA,E07000009,,,63
local-authority-eng:EDE,E07000040,,,38
local-authority-eng:EDN,E07000030,,,88
local-authority-eng:EHA,E07000085,,,3
local-authority-eng:EHE,E07000097,,,24
local-authority-eng:ELI,E07000137,,,29
local-authority-eng:ELM,E07000207,,,62
local-authority-eng:ENF,E09000010,,,27
local-authority-eng:ENO,E07000152,,,5
local-authority-eng:EPP,E07000072,,,92
local-authority-eng:EPS,E07000208,,,16
local-authority-eng:ERE,E07000036,,,47
local-authority-eng:ERY,E06000011,1996-04-01,,99
local-authority-eng:ESK,E07000244,2019-04-01,,86
local-authority-eng:ESS,E10000012,,,0
local-authority-eng:EST,E07000193,,,59
local-authority-eng:ESX,E10000011,,,0
local-authority-eng:EXE,E07000041,,,24
local-authority-eng:FAR,E07000087,,,44
local-authority-eng:FEN,E07000010,,,37
