organisation,statistical-geography,start-date,end-date,point-count,name,resource
development-corporation:Q20648596,E51000002,2015-04-01,,79,Old Oak and Park Royal Development Corporation,de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0
development-corporation:Q6670544,E51000001,2012-03-09,,3,London Legacy Development Corporation,de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0
development-corporation:Q72456968,E51000004,2017-08-01,,0,South Tees Development Corporation,notfound
development-corporation:Q72463795,E51000003,2015-04-20,,0,Ebbsfleet Development Corporation,notfound
local-authority-eng:ADU,E07000223,,,26,Adur District Council,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
local-authority-eng:ALL,E07000026,,,20,Allerdale Borough Council,3b694528538878d378fd6892a649fa634f0013ef299331e6c12b078cfe85d3b2
local-authority-eng:AMB,E07000032,,,43,Amber Valley Borough Council,93264a2648d3dbbf4a154681831e006fb7ee7bbec0a46a4970285f4a847950e0
local-authority-eng:ARU,E07000224,,,38,Arun District Council,53eae689203c3b4251f28ebe2d82c3d4255e90733317254f2ebf7d4d7870e138
local-authority-eng:ASF,E07000105,,,27,Ashford Borough Council,755daa0a07ddac21d25cfa08fb0a0bfd2cb9a539ddd4658888d662d30c9549a4
local-authority-eng:ASH,E07000170,,,24,Ashfield District Council,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
local-authority-eng:AYL,E07000004,,,24,Aylesbury Vale District Council,cbb91282b432b55301917b3bae8f36f5c2172a95f3ed516ebd560df9fbdbdfaf
local-authority-eng:BAB,E07000200,,,5,Babergh District Council,49a918dc51d8d4063061e5b0d257943aa194370ae1f07a1c1fc746f7ed7dd3b3
local-authority-eng:BAE,E07000171,,,22,Bassetlaw District Council,d72b58712c3cc74c8af14e45e0fde01ecbc728af2f6e932c480bd4f71d2ab34b
local-authority-eng:BAI,E07000066,,,71,Basildon Borough Council,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
local-authority-eng:BAN,E07000084,,,90,Basingstoke and Deane Borough Council,5b49dcaf1be010a126e9ef9a03723aa9e2aca5df2e1ef5a527c6d2655b967fe3
local-authority-eng:BAR,E07000027,,,27,Barrow-in-Furness Borough Council,ee170f533d2f2bfdbbd812d33b12c162c26edbb847d03ccb5008696cc8dbe654
local-authority-eng:BAS,E06000022,1996-04-01,,79,Bath and North East Somerset Council,51659ac58f209b22a2ab67566d1a02b4ef1d916f14ca536f889def0587c5f64a
local-authority-eng:BBD,E06000008,1998-04-01,,33,Blackburn with Darwen Borough Council,049b06464791f4a1dc2c73ecb1d9e5009d9fb0e109a828069babb2c588415f6c
local-authority-eng:BDF,E06000055,2009-04-01,,110,Bedford Borough Council,0b98f7c3359d0bc11119fd3b3f08c623afd307d3538a7ba4e2807aeae12d0794
local-authority-eng:BDG,E09000002,,,63,London Borough of Barking and Dagenham,de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0
local-authority-eng:BEN,E09000005,,,116,London Borough of Brent,a2751587f6c9df3a75ff4058b9460d616a0e533640684659662057a89217d8b2
local-authority-eng:BEX,E09000004,,,69,London Borough of Bexley,77d71d59578d17b2a5d6859ed372e7409a276e55e9aa9056392ddfeeee7855ac
local-authority-eng:BIR,E08000025,1986-07-01,,992,Birmingham City Council,586fd8bf0779012ac7c4b8681341b640e538deeaaf5529b2363862253b528703
local-authority-eng:BLA,E07000129,,,25,Blaby District Council,eacc95f7de12c199ddd2d95f0adf10d386fcaa7d92cd5288db5e5bb3b76bd11e
local-authority-eng:BNE,E09000003,,,148,London Borough of Barnet,de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0
local-authority-eng:BNH,E06000043,1905-06-19,,220,Brighton and Hove City Council,163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349
