organisation,statistical-geography,start-date,end-date,point-count,name,resource
local-authority-eng:BNS,E08000016,1974-04-01,,49,Barnsley Metropolitan Borough Council,61037665de19446e5f458708ed9ead5d517a61d28fee72b93be3c8c8a5083a99
local-authority-eng:BOL,E08000001,1974-04-01,,149,Bolton Metropolitan Borough Council,e24ec54e7bcb5c01934afb3d7b12731f07c78778a19757e2000fe6d3d3605e3d
local-authority-eng:BOS,E07000033,,,28,Bolsover District Council,be1804ddd8efc5b8cf980d7b46bda47a8e38a91aa0e678d856ebb1f1f6dbf1a7
local-authority-eng:BOT,E07000136,,,45,Boston Borough Council,8caa0f7de971110b3886294c3783d4db92ce6fc6ae1c9ee40fdb16621b7cb1a0
local-authority-eng:BPC,E06000058,2019-04-01,,1,"Bournemouth, Christchurch and Poole Council",344488f9ce3e3a4dc76c357eb07a9b6db2d6c4494a733d43fde68ebb21505813
local-authority-eng:BPL,E06000009,1905-06-20,,56,Blackpool Borough Council,b2dd227bcfa1b85cd3e029fa91f222b5026bed2485e818974090931efa28f934
local-authority-eng:BRA,E07000067,,,39,Braintree District Council,4d3d9f776e2d89c7c820cbf06474e1788492ab73a48dab5e324978870e73c5cb
local-authority-eng:BRC,E06000036,1998-04-01,,53,Bracknell Forest Council,3c6a9a9d1c175350d98273d0dd73e85a5de2e55c4744b880426e818a3b62db90
local-authority-eng:BRD,E08000032,1974-04-01,,309,City of Bradford Metropolitan District Council,392f3e0ee0fa2c8b209c8197d34069a06e7c7dbdeadcdaecd4eb2a0d3625f63a
local-authority-eng:BRE,E07000143,,,25,Breckland District Council,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
local-authority-eng:BRM,E07000234,,,15,Bromsgrove District Council,5c6073f8815313555655ce5f6ba3663565c7acbd615ba4607073152423f289ec
local-authority-eng:BRO,E07000144,,,22,Broadland District Council,bc54634a7481440ff8fe1d0ec012edc1f94052102f67ccfa984246b361a7a88f
local-authority-eng:BRT,E07000172,,,23,Broxtowe Borough Council,3a654fc09c0a9079e1e4e97fee7b4a8ac9ee56674d93fb2ada7290513c4e518f
local-authority-eng:BRW,E07000068,,,51,Brentwood Borough Council,5a95408cd01f259c40f497a1d3b3f98a05aa045cf489f7693f4d0f04340b2371
local-authority-eng:BRX,E07000095,,,42,Broxbourne Borough Council,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
local-authority-eng:BRY,E09000006,,,89,London Borough of Bromley,68e1c58d69de37d3f39b10191eb44733289ad38618d1bb0f51967776e5c9d776
local-authority-eng:BST,E06000023,1905-06-18,,392,Bristol City Council,b1272eab32c771263b63ea25e900f20406a8c77854f228d07766054cd8c3d801
local-authority-eng:BUN,E07000117,,,23,Burnley Borough Council,c038bcf38e57e999041bd66998883f180d6c25bb70ec17880fdf7c057947b779
local-authority-eng:BUR,E08000002,1974-04-01,,71,Bury Metropolitan Borough Council,8c9889552d0ca795b1d00394664dc58aed9c7bf165a7b4d2a4fc55c69f0f4a0f
local-authority-eng:CAB,E07000008,,,18,Cambridge City Council,cfae2c0d96edc472fc272945ff02f2ec48c8da2503a1429ab2e046c56a54fdad
local-authority-eng:CAM,E10000003,,,0,Cambridgeshire County Council,notfound
local-authority-eng:CAN,E07000192,,,91,Cannock Chase District Council,4c524bd78ea05989aaaabdcad0cae87d48f4ad9eaf18a4e4979d4f0f78465c55
local-authority-eng:CAR,E07000028,,,17,Carlisle City Council,8952372c090d641127efe46b9021715bcc16707ce294468f0dfed69967f9d6e9
local-authority-eng:CAS,E07000069,,,42,Castle Point Borough Council,cd0c958ec2843364957c2fd9757151fdfb6659bb8e0d51e2bd98eaa7847df147
local-authority-eng:CAT,E07000106,,,62,Canterbury City Council,f25c1118c12b2de99473b8a5f7ff9919e2d0a3b18caff40f34e3607e33a303b0
local-authority-eng:CBF,E06000056,2009-04-01,,60,Central Bedfordshire Council,e5626b915aa301b0d044cfb3844fb41a70ecb1b9a4606fc0b44efa8954a0d800
local-authority-eng:CHA,E07000130,,,99,Charnwood Borough Council,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
local-authority-eng:CHE,E06000049,2009-04-01,,123,Cheshire East Council,b6ed0267c9db2903f719643ff3e153fbdf65894e33706a8a52280ce453e53ec3
local-authority-eng:CHI,E07000225,1974-04-01,,23,Chichester District Council,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
local-authority-eng:CHL,E07000070,,,55,Chelmsford City Council,4eeca291fccc236a4a744850b920fbbf31e4090e4cce51a37c158a3fe080e549
local-authority-eng:CHN,E07000005,,,51,Chiltern District Council,f8ebea750aa97f1044b7ae2da604c022bf68c91c3d32bb3b20bcf079c5289450
local-authority-eng:CHO,E07000118,,,88,Chorley Borough Council,f9be3a5970d10d0ab647be83b0bcc410418c855d6ff4114fb5615f06c702de2d
local-authority-eng:CHR,E07000177,,,43,Cherwell District Council,1a349651d94dfdbdc44773a256313c391c7418f0bcad53f0697c97905e5df993
local-authority-eng:CHS,E07000034,,,57,Chesterfield Borough Council,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
local-authority-eng:CHT,E07000078,,,41,Cheltenham Borough Council,8e63090ca5969c1b152de08ce8fc0c5ffd40a0c31d4054488aba0e5cfce86ff4
local-authority-eng:CHW,E06000050,2009-04-01,,240,Cheshire West and Chester Council,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
local-authority-eng:CLD,E08000033,1974-04-01,,85,Calderdale Metropolitan Borough Council,d6e0f483fb55a70aef9aa42f928e379c702b498bd43d395d1d13d66ffa6d9599
local-authority-eng:CMA,E10000006,,,0,Cumbria County Council,notfound
local-authority-eng:CMD,E09000007,,,97,London Borough of Camden,8c8e11636895827afed2bd458ef0c234a09498a3d36f45e60a91f8726d0dfe66
local-authority-eng:COL,E07000071,,,33,Colchester Borough Council,24cc6bdbfc6e9efde4626416f208874519bf6a924b9b162fc137a8d44e7b27ba
local-authority-eng:CON,E06000052,2009-04-01,,167,Cornwall Council,bea1b5b3b6cf1191e83218616bbb3da7e988b81d3f1241d3b275080c1d38855a
local-authority-eng:COP,E07000029,,,24,Copeland Borough Council,187e5c8acd1304874c616372ce267331f11d27d54930071302d7bab2a11a06cc
local-authority-eng:COR,E07000150,,,8,Corby Borough Council,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4
local-authority-eng:COT,E07000079,,,38,Cotswold District Council,5c1c38542ad94a6d720c190629548ffd6f21b8f949f68c2c2ebcb9f923876f9d
local-authority-eng:COV,E08000026,1974-04-01,,136,Coventry City Council,6b695acc305f9bd94556d33a85cd9239e09e648863845198aa1c60f66dad3285
local-authority-eng:CPCA,E47000008,2014-04-01,,0,Cambridgeshire and Peterborough Combined Authority,notfound
local-authority-eng:CRA,E07000163,,,43,Craven District Council,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
local-authority-eng:CRW,E07000226,1974-04-01,,32,Crawley Borough Council,c71e462d50d267b08240d3405317b68e8f844d4adb96e80457d2cca107859d2b
local-authority-eng:CRY,E09000008,,,464,London Borough of Croydon,2a056d22fe9789449357ae46fdebf57c04cc6b179c4832fe4a9a4b84968b0968
local-authority-eng:DAC,E07000096,,,37,Dacorum Borough Council,8afca3f4ae34571ef8d863e117980d9b3c6d034f125d0b13c32b24fff8c98f9f
local-authority-eng:DAL,E06000005,1997-04-01,,13,Darlington Borough Council,f13ee809bf52e5e1a48da1b9f58bc8f3434ef838e12a86dc3a1ee73b09cb3e4c
local-authority-eng:DAR,E07000107,,,35,Dartford Borough Council,41535dc340b0a4ec8d6e2fe02d5023befc31b9541bb91a8bae09b2d56bf65eaa
local-authority-eng:DAV,E07000151,,,7,Daventry District Council,84ba8d2db8797ee007c312bc005d358caf818ce315420859757e2340e3ac5a5d
local-authority-eng:DBY,E10000007,,,0,Derbyshire County Council,notfound
local-authority-eng:DEB,E07000035,,,30,Derbyshire Dales District Council,4f7208b30f52f86523681dc27f09dcb6f7747b756c794a97803cca8beb2ab839
local-authority-eng:DER,E06000015,,,46,Derby City Council,d55e80499ef90bbddc4915f2371548b4e85fc31fba1118a4f019cbb745c7c57a
local-authority-eng:DEV,E10000008,,,0,Devon County Council,notfound
local-authority-eng:DNC,E08000017,1974-04-01,,102,Doncaster Metropolitan Borough Council,e7c94b30fcb6bfb39843957061e50f57effc88eb5632fbaa0dce9933e1671ee2
local-authority-eng:DOV,E07000108,,,59,Dover District Council,a0ce90d3d64d781a7f9695a659422436c5a44d4d365bcfed2b9fcea9762ea347
local-authority-eng:DST,E06000059,2019-04-01,,1,Dorset Council,344488f9ce3e3a4dc76c357eb07a9b6db2d6c4494a733d43fde68ebb21505813
local-authority-eng:DUD,E08000027,1974-04-01,,28,Dudley Metropolitan Borough Council,7592a555d0d50bf7844d07f0f1c346b6062819cb47863c2f3af9c46c6fe3968b
local-authority-eng:DUR,E06000047,2009-04-01,,68,Durham County Council,84cf0ee424e4bf9affa2523d0cbe24151a92536767ac6d2c202463f4da63b8e4
local-authority-eng:EAL,E09000009,,,70,London Borough of Ealing,2b5940c427ebabb32d95f2097f5480081d0af9f201eee8bd83ae25a6fca681a4
local-authority-eng:EAS,E07000061,,,117,Eastbourne Borough Council,5a9a3931e7a19f4fba128bdc1dcb544f0860ceeba17ce15f7621f02c25062a81
local-authority-eng:EAT,E07000086,,,25,Eastleigh Borough Council,7414c00a2966fea867d2709704dae5787d9c8e7690663623ed19c62cf5b02a7a
local-authority-eng:ECA,E07000009,,,63,East Cambridgeshire District Council,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
local-authority-eng:EDE,E07000040,,,38,East Devon District Council,d044b96116cc9d06732a919af514c5523aee0a02f6996d82348f235239654fde
local-authority-eng:EDN,E07000030,,,88,Eden District Council,9d9a0457ea5f34e841b7f25a3da5c99ddb2176075946f7a3049a015849763c91
local-authority-eng:EHA,E07000085,,,3,East Hampshire District Council,2a57acb3e6ea757230b86e9092df3552024a511a99a05ed46fed48c52afe3a90
local-authority-eng:EHE,E07000097,,,24,East Hertfordshire District Council,8b6d181e5a6fdea85a9c83c889d6a9b5a2d03218e20552c9658c8fd883876615
local-authority-eng:ELI,E07000137,,,29,East Lindsey District Council,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
local-authority-eng:ELM,E07000207,,,62,Elmbridge Borough Council,520a566a469a4b7c0e3d9f24dc75a5e293a91b427813bd5b09502d4cca1d1ada
local-authority-eng:ENF,E09000010,,,27,London Borough of Enfield,3f600edb563e84569505441b2caced08574d4a2a36cc27a963b2f8e9f885f253
local-authority-eng:ENO,E07000152,,,5,East Northamptonshire Council,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4
local-authority-eng:EPP,E07000072,,,92,Epping Forest District Council,43f6e6ef6bf2388f14b48e733911dfb69c7993678689847411c2a780b9e3d751
local-authority-eng:EPS,E07000208,,,16,Epsom and Ewell Borough Council,9f19704ae1cded4c413dd836183eef54a4cc124a4a13fe167132f956ddd6ab3f
local-authority-eng:ERE,E07000036,,,47,Erewash Borough Council,66daee00d094ebb5805f605d75ecf079681352a6bbecd3b4ccb2105ee09d4416
local-authority-eng:ERY,E06000011,1996-04-01,,99,East Riding of Yorkshire Council,d4a7936681636d97326ba063c841e1d0321d6cde37d329a699c06a5c1757e2ce
local-authority-eng:ESK,E07000244,2019-04-01,,86,East Suffolk Council,8b6d181e5a6fdea85a9c83c889d6a9b5a2d03218e20552c9658c8fd883876615
local-authority-eng:ESS,E10000012,,,0,Essex County Council,notfound
local-authority-eng:EST,E07000193,,,59,East Staffordshire Borough Council,ff1500c81752ecbbc2e2cd44385943817d5290cc38e0f359e9b66439af470453
local-authority-eng:ESX,E10000011,,,0,East Sussex County Council,notfound
local-authority-eng:EXE,E07000041,,,24,Exeter City Council,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
local-authority-eng:FAR,E07000087,,,44,Fareham Borough Council,6f0d1cdbc317cec04bb3d3e84634552b7a54dfcc9850dffd71a4585f732105a0
local-authority-eng:FEN,E07000010,,,37,Fenland District Council,f94ed2c00a04ce1cfa77f92a5cbe1ffac5ec2fc1fcea3c449df33c55e02bdbeb
local-authority-eng:FOE,E07000080,,,49,Forest of Dean District Council,1c66835c22dbfedf24b2fe2581e59a266e87f7cfbb711a1d5047d02c8f0350a0
local-authority-eng:FYL,E07000119,,,1,Fylde Borough Council,083bcaab201ec76562ca96c13b687b249e16fbe9372966078d9f870e722a365b
local-authority-eng:GAT,E08000020,1974-04-01,,129,Gateshead Metropolitan Borough Council,cc670f5aa877b66a1dbe21efe8a4a0cad0051c937d5fd63b07b622b7e2cb51b9
local-authority-eng:GED,E07000173,,,59,Gedling Borough Council,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c
local-authority-eng:GLA,E12000007,1905-06-22,,0,Greater London Authority,notfound
local-authority-eng:GLO,E07000081,,,37,Gloucester City Council,4ebbf80c15a14ea35ed19f9799ab3682d0bf4aa2e33d8590929342402486749f
local-authority-eng:GLS,E10000013,,,0,Gloucestershire County Council,notfound
local-authority-eng:GMCA,E47000001,2014-04-01,,0,Greater Manchester Combined Authority,notfound
local-authority-eng:GOS,E07000088,,,24,Gosport Borough Council,917b8ab8332f3d976a855bec769e7e42e2e0804d90c4b950b4bad108cc39816b
local-authority-eng:GRA,E07000109,,,51,Gravesham Borough Council,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
local-authority-eng:GRE,E09000011,,,113,Royal Borough of Greenwich,327cd759a67bf062632b8906638d622fbf3b2bad0c29020a1cdf191920023ebb
local-authority-eng:GRT,E07000209,,,125,Guildford Borough Council,88eb3cd04c8494a5f2277aa0c422c2b70ba8d256d2bdbada175e6383e8a75857
local-authority-eng:GRY,E07000145,,,55,Great Yarmouth Borough Council,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74
local-authority-eng:HAA,E07000090,,,74,Havant Borough Council,5d1686ae287694d708da97129a28b1aab0271b74df56d05202dd785d78adc661
local-authority-eng:HAE,E07000164,,,5,Hambleton District Council,9185def17394394ea716e5558e3a113fe77bc48357c0b7fe00aeef42f505bb65
local-authority-eng:HAG,E07000165,,,90,Harrogate Borough Council,4ffa507c3a54ebf8ff68f9a954d078e93ebc38ac9e05cf0e179c81eeec8ebf35
local-authority-eng:HAL,E06000006,1998-04-01,,34,Halton Borough Council,cb0af9b4b276cdc6c150ce187006009e235e057d83ad3f553d3f4c8bdc078509
local-authority-eng:HAM,E10000014,,,0,Hampshire County Council,notfound
local-authority-eng:HAO,E07000131,,,7,Harborough District Council,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
local-authority-eng:HAR,E07000073,,,38,Harlow District Council,bf1e0cb0b05bf86d1f2832714c8a991cfd77012b4c93432f0cf8069ccd028008
local-authority-eng:HAS,E07000062,,,41,Hastings Borough Council,a05fd92d1c59e7ef4eaa410a368ef3eb9e5e740c94c71990223cc14f37201042
local-authority-eng:HAT,E07000089,,,105,Hart District Council,06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf
local-authority-eng:HAV,E09000016,,,99,London Borough of Havering,e4481ca3b600a31f3c4098bc0b2a53873a034544c1d980e9793b6bbf410e15d1
local-authority-eng:HCK,E09000012,,,38,London Borough of Hackney,db1ba9482beae7534aedb1ffad9e495528688fd8d5ad646cc599e8777fee4c0c
local-authority-eng:HEF,E06000019,1998-04-01,,156,Herefordshire Council,5a68fbb4a8f0451e5d2f0a04923f5d60634a6df031c7610819ea0b3294905d57
local-authority-eng:HER,E07000098,,,37,Hertsmere Borough Council,d9f17c4b5d8b42a87537fe094e4af4342407c57a1ffb0c3a43dddf6880f5594c
local-authority-eng:HIG,E07000037,,,31,High Peak Borough Council,80e44d03848f0991442d36871b9db578d8a82244c18bd4e43ac5afd1752e4640
local-authority-eng:HIL,E09000017,,,84,London Borough of Hillingdon,3af01fb10e4a7958f9cc989c5066e05c40cfe48a405238c8089a6cb791662633
local-authority-eng:HIN,E07000132,,,10,Hinckley and Bosworth Borough Council,79ff569aac9b619ea691510a92fade1561de2c659cbe7c606da060605099309b
local-authority-eng:HMF,E09000013,,,12,London Borough of Hammersmith & Fulham,de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0
local-authority-eng:HNS,E09000018,,,9,London Borough of Hounslow,b02aaaba2481e5a0f0801e95388f2b6a4b275485ac3ab3cb6abe9fa49e5ec5b4
local-authority-eng:HOR,E07000227,1974-04-01,,40,Horsham District Council,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
local-authority-eng:HPL,E06000001,1905-06-18,,27,Hartlepool Borough Council,e8022a61b5ea1bcd4ae94145b8cb17008e7d64e11263d9070570feffcddb6436
local-authority-eng:HRT,E10000015,,,0,Hertfordshire County Council,notfound
local-authority-eng:HRW,E09000015,,,102,London Borough of Harrow,de3918b3af88df0eebce7fbb3f8bc36f571f59fda90470f9b1e8bee3145f8ca0
local-authority-eng:HRY,E09000014,,,244,London Borough of Haringey,c415eaa05263be7c30b30932b8757af97b59962118ccaad9412b173b8f9fb375
local-authority-eng:HUN,E07000011,,,19,Huntingdonshire District Council,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
local-authority-eng:HYN,E07000120,,,38,Hyndburn Borough Council,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
local-authority-eng:IOS,E06000053,1974-04-01,,3,Council of the Isles of Scilly,c7151e07faf7ea4c334397523c85c1767d8e54a22fad053f7fd6ec8bfdf21f28
local-authority-eng:IOW,E06000046,1905-06-17,,46,Isle of Wight Council,5c6f6b7edce1592cda94845130f30623c155fdcea9c676add368916eaf4108fe
local-authority-eng:IPS,E07000202,,,72,Ipswich Borough Council,687a97db58e89e1e2c73f2270a463deb4f4dc5fef16171ae9475eeb3fe899e4a
local-authority-eng:ISL,E09000019,,,117,London Borough of Islington,28c570a347cc8887b8d18368af90c5dbb3910042f13a9fda7860f119bb53bf06
local-authority-eng:KEC,E09000020,,,64,Royal Borough of Kensington and Chelsea,86167bb457c56ec6e4160e0df7ca208161bb11c443a1baf5e8bfae4ba2f1de8e
local-authority-eng:KEN,E10000016,,,0,Kent County Council,notfound
local-authority-eng:KET,E07000153,,,7,Kettering Borough Council,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4
local-authority-eng:KHL,E06000010,1996-04-01,,61,Hull City Council,3d5e20a9637eb9302ce500f3a1180739fa9574cb626600beedfb5cec2883b49a
local-authority-eng:KIN,E07000146,,,51,Borough Council of King's Lynn and West Norfolk,fde09388a71ca5cac45a73d86e108565aa8fba070227ce07e655ead4e347e6a6
local-authority-eng:KIR,E08000034,1974-04-01,,119,Kirklees Council,67f13b69aa8920e05866471bdea75726a9448fa37726c06c91ef57ba68e8ed8e
local-authority-eng:KTT,E09000021,,,80,Royal Borough of Kingston upon Thames,4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
local-authority-eng:KWL,E08000011,1974-04-01,,96,Knowsley Metropolitan Borough Council,27e1f9c7c1849bafe818494ffdef512390c24be75618ee05c72462129e501e64
local-authority-eng:LAC,E07000121,,,63,Lancaster City Council,880445bc3545e51d1c3c3d39ef6f4aed767ae945a4595523acc70c9956a7bec5
local-authority-eng:LAN,E10000017,,,0,Lancashire County Council,notfound
local-authority-eng:LBH,E09000022,,,73,London Borough of Lambeth,ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea
local-authority-eng:LCE,E06000016,1905-06-19,,66,Leicester City Council,3688fbb5b10e15af8b7acd333750957d591696ffb48b04d8b635355148bbba90
local-authority-eng:LCR,E47000004,2014-04-01,,0,Liverpool City Region,notfound
local-authority-eng:LDS,E08000035,1905-06-08,,383,Leeds City Council,a3efc12b4374fc4d186f7998987cd390c269ce1c99ff3e43995a864ffa0cd03e
local-authority-eng:LEC,E10000018,,,0,Leicestershire County Council,notfound
local-authority-eng:LEE,E07000063,,,56,Lewes District Council,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
local-authority-eng:LEW,E09000023,,,172,London Borough of Lewisham,e8c12cbc42527869db0fe79f50c2b7b55bf71306a89420900c649664de95cc6d
local-authority-eng:LIC,E07000138,,,14,City of Lincoln Council,a45d01e8f582bde8a6dd5f67d5a253ba6e3f1aabfb55b77ea841d4418f43f481
local-authority-eng:LIF,E07000194,,,45,Lichfield District Council,081e4f51ab1906ac3409cb656f9e17e8a58474115c0d5e9862d03d2afb03ab30
local-authority-eng:LIN,E10000019,,,0,Lincolnshire County Council,notfound
local-authority-eng:LIV,E08000012,1905-06-08,,406,Liverpool City Council,873e9679ba803ab268864133b3ab80c2bdb831ca157e7d77769539fab1c3c467
local-authority-eng:LND,E09000001,1905-06-28,,2,City of London Corporation,3875c4aecb090ce1db8446c0b3f56a90628d8dba570b230767c29b74fcf79b35
local-authority-eng:LUT,E06000032,1905-06-19,,158,Luton Borough Council,6dd5b4e8f86c741a0a8e35c075edce0293288ff38ef1abe2f3dd35c85b259aa5
local-authority-eng:MAI,E07000110,,,158,Maidstone Borough Council,9d7cdcaf52395105971506bbbfd96b88c46ed33eaadecebbc6b302e59da6cb54
local-authority-eng:MAL,E07000074,,,8,Maldon District Council,e80bc54cb7ce73b10d06baf069ba82982536f5a3bb1e85bac6364dc8e5d460b7
local-authority-eng:MAN,E08000003,1974-04-01,,528,Manchester City Council,61f369d249a477d4abb66c5f93c4ae6c6f7c4e43bdc568ec240cc46d46ec96df
local-authority-eng:MAS,E07000174,,,18,Mansfield District Council,aeb4df662edfb4a20857b3664a1ca3401c6475a8691537e380a13a23629a0854
local-authority-eng:MAV,E07000235,,,18,Malvern Hills District Council,78a1ca9af1af9204799549f3517913de4788529cf696aa22bb86518d347fcd30
local-authority-eng:MDB,E06000002,1905-06-18,,57,Middlesbrough Borough Council,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
local-authority-eng:MDE,E07000042,,,19,Mid Devon District Council,59b0eebeb6302c722851d7c764690cfd8764e64ade2aae9de7e125c34f5f8187
local-authority-eng:MDW,E06000035,1998-04-01,,30,Medway Council,1f05e8de9138ab8db4a367fd73ae5d83f29ec6eb6b1e581fc7439d0e25cf78fa
local-authority-eng:MEL,E07000133,,,45,Melton Borough Council,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
local-authority-eng:MEN,E07000187,,,32,Mendip District Council,f5b23d2fa5322a83c1f738ac4f64e6926c0377bc0756ce42233ae8b4fb958b89
local-authority-eng:MIK,E06000042,1905-06-19,,71,Milton Keynes Council,5a3db14fbc2f2637f49abf268ae787cd1dda00c10d1c403724d753a93fee0f84
local-authority-eng:MOL,E07000210,,,27,Mole Valley District Council,68ee98cffce514e5284448b4eba64698c426c15b6194a98c641323d699586ba7
local-authority-eng:MRT,E09000024,,,52,London Borough of Merton,a7dcf6d49750964096acc50b85b91a6136fd8389bd8e0ad9cd1d056c368d81a8
local-authority-eng:MSS,E07000228,1974-04-01,,63,Mid Sussex District Council,c021132ca39041f30ebbc15847e212ebe5d6fe30421f365ee2e365aa9167dc5d
local-authority-eng:MSU,E07000203,,,10,Mid Suffolk District Council,49a918dc51d8d4063061e5b0d257943aa194370ae1f07a1c1fc746f7ed7dd3b3
local-authority-eng:NBL,E06000048,2009-04-01,,272,Northumberland County Council,51fd36daf72b8b22fcaff19185e18c31456457ac8116b866c28959be3c69eb1a
